,date,views,recommend,number,singer
0,2020-05-01 02:00:56,21,0,11419,솔비
1,2020-04-21 03:37:24,32,0,11417,솔비
2,2020-04-11 06:42:59,70,0,11416,솔비
3,2020-04-06 18:06:09,53,0,11415,솔비
4,2020-04-05 20:48:05,51,0,11414,솔비
5,2020-04-05 17:58:11,50,0,11413,솔비
6,2020-03-31 16:52:08,56,0,11412,솔비
7,2020-03-27 16:48:09,70,0,11409,솔비
8,2020-03-27 12:04:29,69,0,11408,솔비
9,2020-03-25 17:43:36,64,0,11407,솔비
10,2020-03-19 12:40:44,79,0,11404,솔비
11,2020-03-16 11:54:31,95,0,11401,솔비
12,2020-03-16 11:15:18,90,0,11400,솔비
13,2020-03-10 11:41:25,91,0,11397,솔비
14,2020-03-08 18:40:07,99,0,11396,솔비
15,2020-03-06 16:41:36,104,0,11395,솔비
16,2020-02-29 19:53:01,102,0,11394,솔비
17,2020-02-25 01:28:29,113,0,11390,솔비
18,2020-02-24 18:57:12,108,0,11389,솔비
19,2020-02-21 19:50:59,111,0,11388,솔비
20,2020-02-21 04:03:09,116,0,11387,솔비
21,2020-02-16 03:31:20,125,0,11386,솔비
22,2020-02-16 03:30:19,128,0,11385,솔비
23,2020-02-13 01:54:33,125,0,11384,솔비
24,2020-02-08 03:15:25,128,0,11383,솔비
25,2020-02-08 03:14:19,136,0,11382,솔비
26,2020-02-05 05:06:25,143,0,11381,솔비
27,2020-02-03 02:42:49,150,0,11380,솔비
28,2020-01-27 12:49:13,163,1,11379,솔비
29,2020-01-01 05:47:00,180,0,11378,솔비
30,2019-11-27 19:19:46,198,0,11377,솔비
31,2019-10-05 05:47:16,238,0,11375,솔비
32,2019-08-20 08:38:44,304,0,11373,솔비
33,2019-08-20 08:37:37,262,0,11372,솔비
34,2017-05-28 20:13:52,506,0,10501,솔비
35,2017-05-23 12:51:49,422,0,10489,솔비
36,2017-05-21 22:39:37,355,0,10483,솔비
37,2017-05-21 09:59:16,336,0,10481,솔비
38,2017-05-20 15:58:43,322,0,10480,솔비
39,2017-05-20 02:29:13,371,0,10479,솔비
40,2017-05-19 19:36:47,327,1,10477,솔비
41,2017-05-19 18:41:33,352,0,10476,솔비
42,2017-05-19 18:34:54,345,0,10475,솔비
43,2017-05-19 01:34:21,444,1,10471,솔비
44,2017-05-16 14:55:01,321,1,10467,솔비
45,2017-05-15 21:06:19,374,1,10464,솔비
46,2017-05-14 14:26:58,383,2,10461,솔비
47,2017-05-12 19:23:00,387,1,10455,솔비
48,2017-05-11 13:16:41,300,1,10452,솔비
