,date,views,recommend,number,singer
0,2019-10-28 12:33:31,513,3,147319,송창의
1,2019-10-28 01:42:41,532,17,147318,송창의
2,2019-10-28 01:33:13,400,12,147317,송창의
3,2019-10-28 00:05:12,831,20,147316,송창의
4,2019-10-28 00:05:02,261,1,147315,송창의
5,2019-10-27 23:34:38,330,14,147314,송창의
6,2019-10-27 23:16:49,263,1,147313,송창의
7,2019-10-27 21:38:52,310,0,147312,송창의
8,2019-10-27 21:15:49,389,6,147311,송창의
9,2019-10-27 12:28:34,310,0,147310,송창의
10,2019-10-26 21:54:24,321,0,147309,송창의
11,2019-10-25 23:58:17,473,3,147308,송창의
12,2019-10-25 23:05:16,385,4,147307,송창의
13,2019-10-25 22:36:40,318,3,147306,송창의
14,2019-10-24 00:01:39,359,0,147305,송창의
15,2019-10-23 23:41:15,510,3,147304,송창의
16,2019-10-23 22:32:39,268,0,147303,송창의
17,2019-10-23 21:07:32,240,0,147302,송창의
18,2019-10-23 19:44:32,293,3,147301,송창의
19,2019-10-23 19:41:07,534,13,147300,송창의
20,2019-10-23 19:21:28,262,0,147299,송창의
21,2019-10-23 13:24:28,322,1,147298,송창의
22,2019-10-23 00:57:44,192,0,147297,송창의
23,2019-10-23 00:24:11,212,0,147296,송창의
24,2019-10-22 23:26:23,304,1,147295,송창의
25,2019-10-22 23:22:08,480,0,147294,송창의
26,2019-10-22 21:12:10,193,0,147293,송창의
27,2019-10-21 12:58:20,269,2,147292,송창의
28,2019-10-21 10:40:02,295,4,147291,송창의
29,2019-10-20 23:09:49,183,0,147290,송창의
30,2019-10-20 22:36:07,422,6,147289,송창의
31,2019-10-20 22:27:07,183,2,147288,송창의
32,2019-10-20 21:18:46,178,0,147287,송창의
33,2019-10-20 19:38:23,112,0,147286,송창의
34,2019-10-20 18:50:54,193,0,147285,송창의
35,2019-10-20 18:05:59,176,0,147284,송창의
36,2019-10-20 00:03:19,368,10,147283,송창의
37,2019-10-19 23:14:16,262,7,147282,송창의
38,2019-10-19 22:31:55,275,5,147281,송창의
39,2019-10-19 19:33:10,158,0,147280,송창의
40,2019-10-18 23:52:33,404,11,147279,송창의
41,2019-10-18 22:37:39,311,0,147278,송창의
42,2019-10-18 21:09:42,159,0,147277,송창의
43,2019-10-18 09:29:53,218,0,147276,송창의
44,2019-10-17 23:17:55,388,12,147275,송창의
45,2019-10-17 15:04:24,272,3,147274,송창의
