,date,views,recommend,number,singer
0,2013-06-06 00:51:19,3617,35,공지,싸이
1,2013-04-29 21:21:27,3026,34,공지,싸이
2,2020-04-07 06:33:20,68,0,10058,싸이
3,2020-03-24 22:28:29,82,0,10056,싸이
4,2020-02-29 11:23:38,85,0,10053,싸이
5,2020-02-27 22:46:22,140,0,10052,싸이
6,2020-02-20 18:54:16,92,0,10049,싸이
7,2020-01-19 03:46:26,189,0,10046,싸이
8,2020-01-18 23:33:52,199,5,10045,싸이
9,2019-12-26 19:39:49,456,1,10042,싸이
10,2019-12-26 17:26:07,212,0,10041,싸이
11,2019-12-25 12:02:53,359,0,10040,싸이
12,2019-12-25 07:19:41,404,0,10039,싸이
13,2019-12-25 05:30:30,359,0,10038,싸이
14,2019-12-24 20:50:43,320,0,10035,싸이
15,2019-12-24 10:42:26,286,0,10033,싸이
16,2019-12-24 04:35:12,311,0,10030,싸이
17,2019-12-23 17:17:52,266,0,10029,싸이
18,2019-12-23 16:50:38,323,0,10028,싸이
19,2019-12-23 15:48:36,145,0,10027,싸이
20,2019-12-23 15:03:05,243,0,10026,싸이
21,2019-12-23 08:55:48,366,1,10025,싸이
22,2019-12-22 21:16:40,386,1,10024,싸이
23,2019-12-22 20:59:21,203,0,10023,싸이
24,2019-12-22 20:58:05,194,0,10022,싸이
25,2019-12-22 20:50:34,391,0,10021,싸이
26,2019-12-22 17:38:36,421,1,10020,싸이
27,2019-12-22 17:24:13,314,2,10019,싸이
28,2019-12-22 17:07:26,275,0,10018,싸이
29,2019-12-22 16:46:12,337,1,10017,싸이
30,2019-12-22 14:40:05,279,0,10016,싸이
31,2019-12-22 12:19:44,275,0,10015,싸이
32,2019-12-22 11:24:41,305,0,10014,싸이
33,2019-12-22 10:58:14,279,0,10013,싸이
34,2019-12-22 09:06:23,234,0,10012,싸이
35,2019-12-22 06:44:08,212,0,10011,싸이
36,2019-12-22 05:44:26,392,0,10010,싸이
37,2019-12-22 05:22:09,292,0,10009,싸이
38,2019-12-22 05:11:26,314,0,10008,싸이
39,2019-12-22 04:56:49,258,0,10007,싸이
40,2019-12-22 03:18:43,337,0,10006,싸이
41,2019-12-22 02:30:18,168,0,10005,싸이
42,2019-12-21 21:56:39,292,0,10004,싸이
43,2019-12-21 20:58:53,277,0,10003,싸이
44,2019-12-21 20:30:37,374,0,10002,싸이
45,2019-12-21 20:04:09,229,0,10001,싸이
46,2019-12-21 19:57:52,161,0,10000,싸이
47,2019-12-21 19:44:53,280,0,9999,싸이
48,2019-12-21 19:44:35,233,0,9998,싸이
49,2019-12-21 19:03:38,227,0,9997,싸이
50,2019-12-21 18:00:08,146,0,9996,싸이
51,2019-12-21 15:36:20,196,0,9995,싸이
52,2019-12-21 13:11:06,250,0,9994,싸이
53,2019-12-21 10:04:28,273,0,9993,싸이
54,2019-12-21 09:49:16,430,7,9992,싸이
55,2019-12-21 05:50:47,222,0,9990,싸이
56,2019-12-21 04:09:45,289,0,9988,싸이
57,2019-12-20 21:50:16,224,0,9987,싸이
58,2019-12-20 19:12:05,176,0,9985,싸이
59,2019-12-20 09:50:32,190,0,9983,싸이
60,2019-12-19 16:29:49,176,0,9982,싸이
61,2019-12-19 16:28:49,290,0,9981,싸이
62,2019-12-19 16:00:36,104,0,9980,싸이
63,2019-12-19 05:38:24,266,1,9979,싸이
64,2019-12-19 04:32:38,219,0,9978,싸이
65,2019-12-19 02:47:23,202,0,9977,싸이
66,2019-12-19 02:07:53,159,0,9976,싸이
67,2019-12-18 22:07:13,231,0,9975,싸이
68,2019-12-18 19:39:13,196,0,9974,싸이
69,2019-12-18 15:51:29,219,0,9973,싸이
70,2019-12-18 15:08:26,128,0,9972,싸이
