,date,views,recommend,number,singer
0,2020-04-17 22:09:45,53,0,1488,유병재
1,2020-04-16 08:22:45,61,3,1487,유병재
2,2020-04-13 06:35:03,57,2,1486,유병재
3,2020-04-07 23:30:17,73,0,1484,유병재
4,2020-03-17 20:41:42,92,0,1480,유병재
5,2020-03-16 11:37:52,49,0,1479,유병재
6,2020-02-23 15:40:37,87,2,1471,유병재
7,2020-02-14 19:34:09,219,0,1469,유병재
8,2020-02-01 18:00:27,96,2,1467,유병재
9,2020-02-01 09:47:16,131,2,1466,유병재
10,2019-12-30 00:50:41,449,8,1464,유병재
11,2019-12-20 20:40:45,417,17,1463,유병재
12,2019-12-10 09:06:27,257,0,1462,유병재
13,2019-12-06 19:38:34,122,0,1461,유병재
14,2019-11-27 19:25:07,87,0,1460,유병재
15,2019-11-03 21:21:01,293,13,1458,유병재
16,2019-10-31 20:06:47,180,0,1457,유병재
17,2019-10-31 18:18:57,216,12,1456,유병재
18,2019-10-13 19:38:06,185,0,1455,유병재
19,2019-09-06 22:02:19,279,1,1452,유병재
20,2019-08-27 04:46:54,392,3,1450,유병재
21,2019-08-23 18:04:02,275,1,1449,유병재
22,2019-08-22 14:13:10,343,13,1448,유병재
23,2019-07-10 21:23:33,311,10,1446,유병재
24,2019-07-09 17:17:15,313,1,1445,유병재
25,2019-05-21 16:57:34,432,5,1443,유병재
26,2019-05-03 13:45:49,512,1,1442,유병재
27,2019-04-24 20:50:50,650,5,1441,유병재
28,2019-04-19 09:54:15,768,10,1440,유병재
29,2019-04-12 10:40:27,500,0,1438,유병재
30,2019-03-28 02:38:38,458,4,1436,유병재
31,2019-03-25 01:13:41,395,0,1435,유병재
32,2019-03-24 03:29:21,640,21,1434,유병재
33,2019-03-20 17:45:24,629,0,1433,유병재
34,2019-03-19 17:45:37,676,1,1432,유병재
35,2019-03-15 11:49:02,488,0,1431,유병재
36,2019-03-15 03:23:20,435,2,1430,유병재
37,2019-03-14 16:58:19,566,0,1429,유병재
38,2019-03-12 17:37:05,943,28,1428,유병재
39,2019-03-12 16:02:39,323,0,1427,유병재
40,2019-03-12 13:26:18,411,0,1426,유병재
41,2019-03-11 22:36:41,453,11,1425,유병재
42,2019-02-22 20:34:23,710,13,1424,유병재
43,2019-02-18 15:56:06,321,1,1423,유병재
44,2019-02-13 19:58:21,330,0,1422,유병재
45,2019-02-12 16:29:33,441,0,1421,유병재
46,2019-02-06 23:13:18,413,0,1420,유병재
47,2019-02-03 13:32:06,327,0,1419,유병재
48,2019-01-01 18:38:08,299,0,1411,유병재
49,2018-12-18 01:05:41,582,0,1407,유병재
50,2018-12-13 03:40:31,453,0,1406,유병재
51,2018-11-18 12:40:15,298,0,1401,유병재
52,2018-11-14 16:45:38,444,0,1400,유병재
53,2018-11-06 00:26:21,416,1,1386,유병재
54,2018-10-28 23:42:56,431,1,1385,유병재
55,2018-10-28 23:18:36,379,0,1384,유병재
56,2018-10-24 15:29:06,291,0,1383,유병재
57,2018-10-07 07:27:27,1416,1,1381,유병재
58,2018-09-15 04:02:36,539,0,1353,유병재
59,2018-09-12 13:12:32,304,0,1348,유병재
60,2018-08-20 03:28:06,716,9,1341,유병재
61,2018-08-18 03:40:37,552,3,1340,유병재
62,2018-07-31 18:45:03,588,9,1337,유병재
63,2018-07-20 15:12:34,537,2,1319,유병재
64,2018-06-16 10:13:31,695,0,1264,유병재
65,2018-05-24 23:56:04,353,0,1262,유병재
66,2018-05-24 23:54:30,311,0,1261,유병재
67,2018-05-20 23:31:28,341,0,1259,유병재
68,2018-05-20 09:17:38,325,0,1258,유병재
69,2018-05-03 20:38:35,917,1,1256,유병재
70,2018-05-02 11:33:27,1163,5,1255,유병재
71,2018-04-30 20:40:04,2456,63,1254,유병재
72,2018-04-30 16:59:05,901,2,1253,유병재
73,2018-04-30 15:34:11,2381,26,1252,유병재
74,2018-04-30 04:35:15,2702,25,1251,유병재
75,2018-04-30 02:23:48,732,0,1249,유병재
76,2018-04-28 18:35:48,447,2,1248,유병재
77,2018-04-22 00:34:57,340,0,1246,유병재
78,2018-04-20 15:41:20,479,0,1245,유병재
79,2018-04-14 12:14:04,579,1,1244,유병재
80,2018-04-13 18:02:48,630,3,1243,유병재
81,2018-04-11 22:46:19,3462,55,1242,유병재
82,2018-04-11 21:56:16,504,5,1241,유병재
83,2018-04-11 20:39:56,379,0,1240,유병재
84,2018-04-11 18:54:59,2082,32,1239,유병재
85,2018-04-11 15:58:37,689,5,1238,유병재
86,2018-04-11 02:30:06,471,7,1237,유병재
87,2018-04-09 01:41:13,570,0,1236,유병재
88,2018-04-05 15:42:34,229,0,1235,유병재
89,2018-04-04 02:40:54,306,0,1234,유병재
90,2018-04-03 17:49:18,31097,2,1233,유병재
91,2018-04-02 14:08:38,457,3,1232,유병재
92,2018-04-01 22:08:29,288,0,1231,유병재
93,2018-03-25 22:12:04,235,4,1230,유병재
94,2018-03-21 16:40:18,596,0,1229,유병재
95,2018-03-18 16:07:54,508,1,1228,유병재
96,2018-03-03 20:47:30,353,0,1227,유병재
97,2018-02-28 17:36:09,688,0,1226,유병재
98,2018-02-27 21:06:11,466,0,1225,유병재
