,date,views,recommend,number,singer
0,2017-03-31 17:44:03,3769,37,공지,윤균상
1,2016-08-17 22:31:43,3714,32,공지,윤균상
2,2020-04-30 15:14:25,64,1,53506,윤균상
3,2020-03-29 14:46:53,132,0,53505,윤균상
4,2020-01-27 00:47:38,133,0,53496,윤균상
5,2019-11-27 19:24:22,175,0,53495,윤균상
6,2019-11-15 10:44:06,396,1,53494,윤균상
7,2019-11-13 22:01:38,217,1,53493,윤균상
8,2019-11-06 20:53:44,344,1,53492,윤균상
9,2019-10-08 19:38:17,627,1,53491,윤균상
10,2019-10-02 19:27:08,774,13,53490,윤균상
11,2019-09-18 18:24:35,479,16,53487,윤균상
12,2019-09-06 00:20:57,717,17,53483,윤균상
13,2019-09-03 23:37:34,452,0,53482,윤균상
14,2019-09-02 08:25:16,320,0,53481,윤균상
15,2019-08-21 13:08:20,704,17,53477,윤균상
16,2019-08-17 11:02:28,1035,16,53475,윤균상
17,2019-08-15 00:38:45,1105,8,53474,윤균상
18,2019-08-13 17:14:27,582,6,53473,윤균상
19,2019-08-13 00:11:52,611,10,53472,윤균상
20,2019-08-10 15:30:53,662,6,53471,윤균상
21,2019-08-07 20:37:11,466,5,53469,윤균상
22,2019-08-07 20:34:12,409,2,53468,윤균상
23,2019-08-01 14:24:36,750,12,53467,윤균상
24,2019-07-27 09:02:53,750,5,53465,윤균상
25,2019-07-26 22:54:46,660,2,53464,윤균상
26,2019-07-25 19:01:53,838,2,53463,윤균상
27,2019-07-23 21:22:09,612,2,53462,윤균상
28,2019-07-22 08:11:53,445,0,53461,윤균상
29,2019-07-18 22:57:32,718,5,53460,윤균상
30,2019-07-18 00:14:40,583,3,53459,윤균상
31,2019-07-16 19:30:11,579,7,53458,윤균상
32,2019-07-16 15:32:36,698,6,53454,윤균상
33,2019-07-16 10:47:02,590,4,53453,윤균상
34,2019-07-16 08:55:47,478,3,53451,윤균상
35,2019-07-14 16:28:32,1159,11,53447,윤균상
36,2019-07-14 10:38:03,428,3,53446,윤균상
37,2019-07-09 00:21:01,1035,6,53443,윤균상
38,2019-07-07 11:27:03,878,12,53442,윤균상
39,2019-07-02 13:32:30,560,2,53441,윤균상
40,2019-07-02 09:59:28,624,5,53440,윤균상
41,2019-06-29 16:38:46,749,8,53439,윤균상
42,2019-06-28 19:31:54,534,8,53438,윤균상
43,2019-06-28 15:55:00,690,5,53437,윤균상
44,2019-06-27 18:11:28,685,14,53436,윤균상
45,2019-06-26 23:50:02,495,10,53435,윤균상
46,2019-06-25 19:53:28,765,17,53434,윤균상
47,2019-06-24 22:44:49,570,3,53433,윤균상
48,2019-06-20 20:03:17,887,13,53431,윤균상
49,2019-06-18 18:59:30,921,17,53428,윤균상
50,2019-06-18 15:38:50,589,15,53427,윤균상
51,2019-06-14 10:18:26,968,16,53424,윤균상
52,2019-06-13 18:28:40,651,13,53423,윤균상
