,date,views,recommend,number,singer
0,2014-07-29 15:04:34,2678,37,공지,이다해
1,2014-07-28 16:00:42,1704,13,공지,이다해
2,2020-05-05 11:16:42,24,0,34472,이다해
3,2020-05-05 10:58:17,17,0,34471,이다해
4,2020-05-05 10:51:28,24,0,34470,이다해
5,2020-04-19 00:03:25,21,0,34469,이다해
6,2020-04-10 15:53:04,31,0,34468,이다해
7,2020-03-21 15:57:34,41,0,34466,이다해
8,2019-12-20 03:56:51,159,0,34459,이다해
9,2019-08-25 21:05:55,298,0,34458,이다해
10,2018-12-18 08:08:02,327,0,34434,이다해
11,2018-09-25 05:10:59,545,0,34427,이다해
12,2018-06-27 21:15:17,405,0,34371,이다해
13,2018-04-27 13:34:15,878,2,34357,이다해
14,2018-04-26 20:45:45,726,0,34356,이다해
15,2018-04-15 04:06:40,450,0,34355,이다해
16,2018-04-13 16:33:07,458,0,34354,이다해
17,2018-04-11 10:51:11,594,0,34353,이다해
18,2018-03-26 01:15:32,612,0,34352,이다해
19,2017-10-02 10:55:11,816,0,34346,이다해
20,2017-09-12 23:53:28,677,0,34345,이다해
21,2017-04-19 23:05:16,920,0,34338,이다해
22,2016-09-07 13:02:50,1292,12,34196,이다해
23,2016-05-01 19:03:58,834,4,34184,이다해
24,2016-04-06 14:59:33,1022,0,34183,이다해
25,2016-03-19 21:45:53,1045,0,34177,이다해
26,2016-03-04 07:14:35,1856,0,34156,이다해
27,2016-02-29 19:27:58,776,0,34147,이다해
28,2015-10-30 12:44:19,1897,20,34116,이다해
29,2015-10-28 00:00:45,1012,2,34115,이다해
30,2015-09-08 09:46:11,1071,0,34105,이다해
31,2015-08-23 14:35:28,1074,4,34088,이다해
32,2015-08-23 00:14:51,1439,0,34085,이다해
33,2015-08-21 14:15:12,1392,0,34072,이다해
34,2015-08-14 13:19:03,1241,6,34028,이다해
35,2015-05-20 13:32:12,2217,18,34002,이다해
36,2015-05-02 21:38:53,1221,0,33980,이다해
37,2015-03-17 17:09:48,2016,17,33887,이다해
38,2015-02-25 12:22:09,1930,9,33886,이다해
39,2015-02-22 01:51:01,1690,7,33885,이다해
40,2015-01-26 14:59:47,2019,12,33881,이다해
41,2015-01-17 02:20:41,2534,18,33880,이다해
42,2015-01-17 02:03:01,1973,9,33879,이다해
43,2015-01-17 00:59:05,1503,5,33878,이다해
44,2015-01-13 03:58:05,1625,13,33877,이다해
45,2015-01-07 17:58:39,1718,7,33873,이다해
46,2015-01-02 00:11:29,998,0,33871,이다해
47,2014-12-28 17:47:56,1869,8,33870,이다해
48,2014-12-25 00:06:03,1214,5,33869,이다해
