,date,views,recommend,number,singer
0,2010-11-22 19:42:58,36706,16,공지,이민정
1,2010-09-09 13:03:12,13943,14,공지,이민정
2,2020-05-05 15:19:06,13,1,53179,이민정
3,2020-05-01 12:52:30,30,0,53178,이민정
4,2020-04-12 21:16:56,163,1,53177,이민정
5,2020-04-06 22:31:37,57,1,53176,이민정
6,2020-03-27 19:57:40,144,1,53174,이민정
7,2020-03-05 05:41:51,181,0,53165,이민정
8,2020-02-28 16:37:07,67,0,53162,이민정
9,2020-01-20 23:57:29,739,3,53155,이민정
10,2019-09-25 06:59:32,668,14,53151,이민정
11,2019-09-14 20:36:24,517,3,53150,이민정
12,2019-07-30 13:40:14,768,11,53146,이민정
13,2019-06-02 12:25:43,1054,7,53133,이민정
14,2019-04-07 23:59:18,754,1,53111,이민정
15,2019-03-03 19:30:58,976,1,53107,이민정
16,2019-02-15 01:57:33,465,0,53104,이민정
17,2019-02-10 00:38:22,830,2,53102,이민정
18,2019-01-25 17:46:18,290,0,53095,이민정
19,2019-01-11 13:31:46,523,0,53070,이민정
20,2019-01-05 14:21:44,448,0,53068,이민정
21,2018-12-31 03:11:39,371,0,53067,이민정
22,2018-12-28 09:15:21,342,0,53065,이민정
23,2018-12-09 04:26:39,368,0,53057,이민정
24,2018-11-27 23:33:30,891,0,53053,이민정
25,2018-11-26 08:28:32,1228,0,53050,이민정
26,2018-11-24 18:03:42,1523,8,53048,이민정
27,2018-11-14 20:22:57,1053,2,53043,이민정
28,2018-11-10 23:04:14,1426,11,53042,이민정
29,2018-04-23 13:09:55,1347,0,52971,이민정
30,2018-04-23 13:09:51,518,0,52970,이민정
31,2018-04-08 14:10:20,833,1,52969,이민정
32,2018-04-03 15:25:02,618,0,52968,이민정
33,2018-03-24 00:33:19,1897,4,52967,이민정
34,2018-03-05 10:41:55,1897,5,52966,이민정
35,2018-01-03 18:56:23,2024,2,52965,이민정
36,2017-12-25 02:59:14,938,0,52964,이민정
37,2017-11-28 00:05:40,895,0,52962,이민정
38,2017-11-20 02:03:14,1243,0,52961,이민정
39,2017-11-20 01:42:06,877,2,52960,이민정
40,2017-11-04 12:00:52,1322,1,52959,이민정
41,2017-10-27 13:34:39,2364,8,52957,이민정
42,2017-10-26 02:37:34,937,3,52956,이민정
43,2017-09-30 16:59:21,2497,0,52955,이민정
44,2017-07-21 15:38:27,1878,16,52952,이민정
45,2017-06-28 15:53:02,1824,9,52949,이민정
46,2017-06-21 12:02:48,2209,11,52948,이민정
47,2017-05-29 08:25:47,578,0,52943,이민정
48,2017-05-10 21:49:38,873,6,52941,이민정
