,date,views,recommend,number,singer
0,2019-06-11 14:20:04,5905,282,공지,이범수
1,2014-02-28 11:41:38,4912,51,공지,이범수
2,2011-02-15 21:12:44,6722,24,공지,이범수
3,2007-03-06 20:26:28,88257,3,공지,이범수
4,2008-12-23 19:05:35,4540,0,공지,이범수
5,2007-02-28 17:20:28,21448,0,공지,이범수
6,2020-05-06 21:45:45,46,0,230170,이범수
7,2020-05-04 14:26:50,104,0,230169,이범수
8,2020-04-30 22:14:38,121,0,230168,이범수
9,2020-04-30 16:21:31,117,0,230167,이범수
10,2020-04-29 10:27:23,115,0,230166,이범수
11,2020-04-28 14:33:16,196,1,230165,이범수
12,2020-04-08 10:48:16,234,2,230164,이범수
13,2020-04-04 19:15:53,197,1,230163,이범수
14,2020-03-29 17:04:19,171,1,230162,이범수
15,2020-03-28 21:34:17,160,1,230161,이범수
16,2020-03-22 21:27:18,266,3,230159,이범수
17,2020-02-14 19:01:19,238,0,230151,이범수
18,2019-12-28 11:06:48,270,2,230150,이범수
19,2019-12-26 20:54:27,269,2,230149,이범수
20,2019-12-19 22:56:19,327,5,230148,이범수
21,2019-12-10 16:48:10,245,5,230147,이범수
22,2019-11-30 02:10:56,323,2,230145,이범수
23,2019-11-27 19:31:43,97,0,230144,이범수
24,2019-11-26 12:00:30,331,0,230143,이범수
25,2019-11-13 16:12:33,258,2,230142,이범수
26,2019-11-12 12:34:10,217,3,230141,이범수
27,2019-11-12 00:40:35,283,2,230140,이범수
28,2019-10-12 11:38:02,281,0,230139,이범수
29,2019-09-27 09:39:00,328,0,230138,이범수
30,2019-09-22 02:26:26,445,0,230137,이범수
31,2019-09-20 13:08:42,419,0,230136,이범수
32,2019-09-15 10:13:26,323,0,230135,이범수
33,2019-09-04 10:03:07,301,0,230134,이범수
34,2019-09-02 21:59:46,369,0,230132,이범수
35,2019-09-02 11:08:54,454,0,230131,이범수
36,2019-09-01 11:34:18,301,0,230130,이범수
37,2019-08-29 07:15:54,276,0,230129,이범수
38,2019-08-20 18:04:23,319,0,230128,이범수
39,2019-08-12 18:15:31,504,0,230127,이범수
40,2019-08-02 20:31:17,420,3,230126,이범수
41,2019-07-16 17:50:59,543,7,230125,이범수
42,2019-07-11 13:21:50,320,0,230124,이범수
43,2019-07-03 16:23:56,353,1,230123,이범수
44,2019-06-29 06:18:54,388,2,230120,이범수
45,2019-06-25 10:51:21,563,1,230119,이범수
46,2008-10-21 22:18:06,4044,0,206640,이범수
47,2008-10-21 22:12:27,4084,1,206639,이범수
48,2019-06-18 16:02:08,373,0,230118,이범수
49,2019-06-10 15:16:25,512,0,230116,이범수
50,2019-06-09 11:30:12,521,1,230115,이범수
51,2019-06-05 10:38:07,478,3,230114,이범수
52,2019-06-03 22:28:11,374,0,230113,이범수
53,2019-05-29 15:55:10,458,1,230112,이범수
54,2019-05-23 10:17:07,440,9,230111,이범수
55,2019-05-06 17:02:06,433,1,230110,이범수
56,2019-05-05 22:51:35,427,1,230109,이범수
57,2019-05-04 03:04:55,451,0,230108,이범수
58,2019-04-30 18:00:11,477,0,230107,이범수
59,2019-04-28 15:56:18,461,0,230106,이범수
60,2019-04-26 15:35:06,535,3,230105,이범수
61,2019-04-23 11:21:57,430,1,230104,이범수
62,2019-04-18 00:59:57,387,2,230103,이범수
63,2019-04-13 00:03:46,409,1,230102,이범수
64,2019-04-11 23:24:45,304,0,230101,이범수
65,2019-04-10 19:49:30,396,6,230100,이범수
66,2019-04-03 12:20:03,411,10,230098,이범수
67,2019-03-30 13:29:30,361,3,230097,이범수
68,2019-03-20 21:45:41,432,2,230096,이범수
69,2019-03-15 14:20:52,551,4,230095,이범수
70,2019-03-15 12:13:24,337,2,230094,이범수
71,2019-03-15 00:17:59,426,1,230093,이범수
72,2019-03-14 01:14:04,443,3,230092,이범수
73,2019-03-13 13:05:23,417,3,230091,이범수
74,2019-03-09 22:31:47,421,2,230090,이범수
75,2019-03-06 19:09:06,534,4,230088,이범수
76,2019-03-05 12:46:06,528,6,230087,이범수
77,2019-03-05 00:50:42,393,2,230086,이범수
78,2019-03-04 19:05:17,742,5,230085,이범수
79,2019-03-03 22:35:20,340,1,230084,이범수
80,2019-03-03 16:36:20,295,2,230083,이범수
81,2019-03-03 15:59:02,403,2,230082,이범수
82,2019-03-02 16:18:48,326,3,230081,이범수
83,2019-03-02 13:05:55,546,5,230080,이범수
84,2019-03-01 21:08:24,288,3,230079,이범수
85,2019-03-01 13:27:29,286,2,230078,이범수
86,2019-03-01 13:06:58,325,2,230077,이범수
87,2019-03-01 10:01:08,213,2,230076,이범수
88,2019-02-28 19:20:09,215,2,230075,이범수
89,2019-02-28 16:50:03,212,2,230074,이범수
90,2019-02-27 22:43:45,319,6,230072,이범수
91,2019-02-27 13:55:54,202,3,230071,이범수
92,2019-02-27 13:07:49,285,2,230070,이범수
93,2019-02-27 00:09:12,448,2,230069,이범수
94,2019-02-27 00:03:25,268,2,230068,이범수
95,2019-02-26 22:44:20,223,1,230067,이범수
96,2019-02-26 18:37:27,187,3,230066,이범수
97,2019-02-26 17:50:27,209,2,230065,이범수
98,2019-02-26 11:48:19,236,2,230064,이범수
99,2019-02-25 23:36:33,152,0,230063,이범수
100,2019-02-25 20:52:53,229,0,230062,이범수
101,2019-02-25 20:15:26,170,0,230061,이범수
102,2019-02-25 18:47:41,151,0,230060,이범수
103,2019-02-25 14:17:25,146,0,230058,이범수
104,2019-02-25 14:00:07,140,0,230057,이범수
105,2019-02-25 13:16:41,139,0,230056,이범수
106,2019-02-25 11:09:54,230,1,230055,이범수
107,2019-02-24 20:32:50,126,0,230054,이범수
108,2019-02-24 17:41:13,137,1,230053,이범수
109,2019-02-23 10:17:37,139,0,230052,이범수
110,2019-02-22 18:00:31,134,0,230051,이범수
111,2019-02-22 11:30:02,209,0,230050,이범수
112,2019-02-21 16:09:50,226,1,230049,이범수
113,2019-02-20 21:32:49,169,2,230048,이범수
114,2019-02-20 21:12:48,228,3,230047,이범수
115,2019-02-20 15:26:02,179,1,230046,이범수
116,2019-02-20 13:57:10,126,1,230045,이범수
117,2019-02-20 03:27:31,183,1,230044,이범수
118,2019-02-19 16:36:22,189,1,230043,이범수
119,2019-02-18 02:07:01,190,1,230042,이범수
