,date,views,recommend,number,singer
0,2010-08-24 06:11:52,16421,12,공지,이승효
1,2019-01-02 06:24:21,428,0,88110,이승효
2,2018-06-29 11:07:06,587,0,87986,이승효
3,2018-05-21 13:55:38,600,0,87976,이승효
4,2017-12-18 12:44:56,785,0,87971,이승효
5,2017-12-10 02:12:00,783,0,87970,이승효
6,2017-09-27 12:18:07,388,0,87966,이승효
7,2017-09-25 23:06:56,355,0,87965,이승효
8,2017-09-23 15:50:18,403,0,87964,이승효
9,2017-08-10 08:40:36,861,0,87961,이승효
10,2017-07-09 21:53:12,733,0,87957,이승효
11,2017-03-15 22:58:25,1484,12,87834,이승효
12,2017-02-24 18:41:19,760,0,87812,이승효
13,2017-02-24 17:20:34,443,0,87811,이승효
14,2017-02-24 17:20:10,1042,0,87810,이승효
15,2017-01-27 17:58:35,457,0,87769,이승효
16,2016-12-22 14:35:10,1029,1,87671,이승효
17,2016-12-17 22:21:16,870,8,87658,이승효
18,2016-12-14 12:12:00,814,1,87648,이승효
19,2016-12-14 10:15:40,604,0,87647,이승효
20,2016-12-13 18:15:35,537,0,87644,이승효
21,2016-12-13 13:10:48,548,0,87643,이승효
22,2016-12-12 02:42:30,531,1,87639,이승효
23,2016-12-09 13:01:18,471,0,87625,이승효
24,2016-12-08 00:31:31,707,0,87623,이승효
25,2016-12-06 23:09:24,590,0,87618,이승효
26,2016-12-06 07:30:57,471,0,87617,이승효
27,2016-12-05 21:31:49,580,0,87615,이승효
28,2016-11-30 12:56:04,454,0,87601,이승효
29,2016-11-28 01:46:32,747,0,87594,이승효
30,2016-11-23 07:24:57,467,0,87577,이승효
31,2016-11-22 09:29:59,471,0,87573,이승효
32,2016-11-22 08:38:39,509,0,87571,이승효
33,2016-11-19 16:35:22,934,0,87564,이승효
34,2016-11-18 00:42:02,1046,2,87559,이승효
35,2016-11-14 10:49:34,551,0,87551,이승효
36,2016-11-12 23:04:07,718,0,87546,이승효
37,2016-11-12 11:22:26,470,0,87545,이승효
38,2016-10-20 23:54:35,555,0,87487,이승효
39,2016-09-30 22:44:07,812,2,87445,이승효
40,2016-09-28 11:35:09,875,0,87440,이승효
41,2016-09-27 10:31:38,821,6,87438,이승효
42,2016-09-22 00:01:36,401,0,87429,이승효
43,2016-09-02 15:20:54,866,0,87403,이승효
44,2016-09-02 14:50:47,777,0,87402,이승효
45,2016-09-01 17:36:33,461,0,87400,이승효
46,2016-09-01 15:18:07,522,0,87399,이승효
47,2016-09-01 15:16:09,552,0,87398,이승효
48,2016-09-01 09:36:53,496,0,87397,이승효
