,date,views,recommend,number,singer
0,2020-05-06 13:47:29,27,2,30182,이영애
1,2020-05-06 13:45:54,20,2,30181,이영애
2,2020-05-06 07:42:40,13,0,30180,이영애
3,2020-05-04 19:26:20,30,0,30179,이영애
4,2020-05-04 07:14:39,19,0,30178,이영애
5,2020-05-03 23:00:21,95,0,30177,이영애
6,2020-04-30 19:31:22,62,0,30175,이영애
7,2020-04-28 20:56:10,63,0,30174,이영애
8,2020-04-27 19:04:12,58,0,30172,이영애
9,2020-04-24 18:29:02,101,0,30171,이영애
10,2020-04-24 17:22:33,66,0,30170,이영애
11,2020-04-23 21:47:19,75,0,30169,이영애
12,2020-04-23 18:37:11,59,0,30168,이영애
13,2020-04-21 23:07:45,149,2,30166,이영애
14,2020-04-21 20:54:27,89,0,30165,이영애
15,2020-04-17 12:34:54,84,0,30164,이영애
16,2020-04-17 03:31:36,73,0,30163,이영애
17,2020-04-16 19:32:43,92,0,30162,이영애
18,2020-04-15 19:29:13,166,0,30161,이영애
19,2020-04-15 18:35:08,118,0,30160,이영애
20,2020-04-15 07:58:59,107,0,30159,이영애
21,2020-04-14 16:42:41,88,6,30158,이영애
22,2020-04-12 22:07:48,82,3,30157,이영애
23,2020-04-12 10:46:30,78,2,30155,이영애
24,2020-04-01 15:57:18,90,0,30152,이영애
25,2020-03-31 17:18:11,179,4,30150,이영애
26,2020-03-30 23:58:11,96,0,30149,이영애
27,2020-03-30 15:42:49,112,0,30148,이영애
28,2020-03-26 15:10:54,210,1,30146,이영애
29,2020-03-26 14:08:21,170,1,30145,이영애
30,2020-03-25 23:51:35,147,0,30144,이영애
31,2020-03-23 11:18:27,157,0,30142,이영애
32,2020-03-22 21:33:36,132,0,30141,이영애
33,2020-03-22 17:30:06,109,0,30140,이영애
34,2020-03-22 00:15:44,159,0,30138,이영애
35,2020-03-20 17:50:19,110,0,30137,이영애
36,2020-03-20 14:04:22,110,0,30136,이영애
37,2020-03-20 14:01:56,114,0,30135,이영애
38,2020-03-20 05:54:09,131,3,30134,이영애
39,2020-03-19 07:05:31,151,15,30132,이영애
