,date,views,recommend,number,singer
0,2014-04-20 01:56:18,14215,127,공지,이현우
1,2014-04-17 15:18:35,14252,36,공지,이현우
2,2014-04-16 13:26:12,12946,45,공지,이현우
3,2014-04-16 13:24:15,9837,34,공지,이현우
4,2014-04-14 15:04:28,14705,50,공지,이현우
5,2020-05-07 10:35:35,37,0,120019,이현우
6,2020-05-05 16:34:29,65,1,120018,이현우
7,2020-05-05 10:29:54,68,0,120017,이현우
8,2020-05-04 14:20:16,86,0,120016,이현우
9,2020-04-26 14:43:26,195,1,120015,이현우
10,2020-04-23 13:40:03,391,7,120014,이현우
11,2020-04-22 16:11:45,320,6,120013,이현우
12,2020-04-19 03:20:27,162,0,120012,이현우
13,2020-03-28 03:45:03,259,0,120011,이현우
14,2020-03-26 13:29:22,467,7,120010,이현우
15,2020-03-23 13:26:53,221,0,120007,이현우
16,2020-03-23 01:46:48,163,0,120006,이현우
17,2020-03-19 21:05:02,118,1,120004,이현우
18,2020-03-14 17:04:01,344,15,120001,이현우
19,2020-03-09 16:35:06,221,0,120000,이현우
20,2020-03-06 10:54:18,245,0,119999,이현우
21,2020-02-28 10:58:01,352,1,119996,이현우
22,2020-02-24 22:52:47,347,0,119993,이현우
23,2020-02-11 11:52:22,362,3,119992,이현우
24,2020-02-03 00:24:16,388,0,119991,이현우
25,2020-01-26 13:34:43,443,2,119989,이현우
26,2020-01-26 05:11:19,380,0,119988,이현우
27,2020-01-24 19:49:22,279,0,119987,이현우
28,2020-01-24 13:56:05,203,0,119986,이현우
29,2020-01-21 05:00:04,528,3,119985,이현우
30,2020-01-19 15:03:58,298,0,119984,이현우
31,2020-01-16 18:50:07,699,11,119983,이현우
32,2020-01-14 21:33:22,696,17,119982,이현우
33,2020-01-13 21:57:55,1405,15,119981,이현우
34,2020-01-10 03:55:44,314,1,119980,이현우
35,2020-01-09 11:28:01,441,2,119979,이현우
36,2020-01-09 07:53:50,268,1,119978,이현우
37,2020-01-08 21:57:19,230,1,119977,이현우
38,2020-01-08 21:18:27,441,0,119976,이현우
39,2020-01-08 12:27:41,581,6,119975,이현우
40,2020-01-07 19:18:52,554,4,119973,이현우
41,2020-01-04 21:01:29,520,0,119972,이현우
42,2020-01-01 03:06:39,205,0,119971,이현우
43,2019-12-31 21:06:56,245,5,119970,이현우
44,2019-12-28 14:58:09,342,0,119969,이현우
45,2019-12-28 14:26:12,460,2,119968,이현우
46,2019-12-25 23:08:43,419,0,119967,이현우
47,2019-12-24 01:49:45,183,0,119966,이현우
48,2019-12-18 21:51:08,438,0,119965,이현우
49,2019-12-11 22:28:05,785,3,119964,이현우
50,2019-12-06 18:18:31,659,2,119963,이현우
51,2019-12-01 12:50:33,407,0,119962,이현우
52,2019-11-30 19:23:46,749,3,119961,이현우
53,2019-11-30 18:37:52,281,0,119959,이현우
54,2019-11-29 11:27:44,549,4,119958,이현우
55,2019-11-28 18:15:10,351,7,119957,이현우
56,2019-11-28 18:14:32,334,7,119956,이현우
57,2019-11-27 19:02:46,172,0,119955,이현우
58,2019-11-27 11:58:28,300,0,119954,이현우
59,2019-11-22 08:57:03,450,0,119953,이현우
60,2019-11-20 18:47:06,676,2,119952,이현우
61,2019-11-19 15:06:08,824,13,119951,이현우
62,2019-11-19 14:34:15,372,0,119950,이현우
63,2019-11-19 14:21:29,449,9,119949,이현우
64,2019-11-19 11:23:50,291,0,119947,이현우
65,2019-11-19 01:36:33,352,0,119946,이현우
