,date,views,recommend,number,singer
0,2020-05-07 21:26:52,8,0,345101,장동민
1,2020-05-07 21:14:56,10,0,345100,장동민
2,2020-05-06 20:14:12,58,1,345099,장동민
3,2020-05-05 22:13:31,85,2,345098,장동민
4,2020-05-02 04:07:56,74,0,345097,장동민
5,2020-05-01 13:58:41,119,0,345096,장동민
6,2020-04-30 16:22:05,149,4,345095,장동민
7,2020-04-28 22:09:52,128,5,345094,장동민
8,2020-04-25 23:11:19,127,0,345093,장동민
9,2020-04-25 12:59:32,277,12,345092,장동민
10,2020-04-22 19:59:24,191,0,345091,장동민
11,2020-04-20 19:30:08,140,0,345090,장동민
12,2020-04-17 08:54:05,150,1,345089,장동민
13,2020-04-14 00:26:02,287,13,345088,장동민
14,2020-04-12 13:10:38,205,2,345087,장동민
15,2020-04-11 15:06:19,128,0,345086,장동민
16,2020-04-09 10:14:58,166,3,345085,장동민
17,2020-04-08 21:15:42,119,2,345084,장동민
18,2020-04-08 10:58:35,165,1,345083,장동민
19,2020-04-08 08:48:45,130,0,345082,장동민
20,2020-04-06 10:29:48,242,5,345081,장동민
21,2020-04-05 20:01:10,152,1,345080,장동민
22,2020-04-04 21:53:58,130,3,345079,장동민
23,2020-04-04 13:01:02,155,0,345078,장동민
24,2020-04-01 21:19:04,155,1,345076,장동민
25,2020-03-31 01:38:46,195,0,345075,장동민
26,2020-03-30 23:35:30,148,4,345074,장동민
27,2020-03-30 01:06:45,127,0,345073,장동민
28,2020-03-29 20:29:42,389,14,345072,장동민
29,2020-03-28 20:33:59,184,3,345071,장동민
30,2020-03-25 08:39:46,140,2,345069,장동민
31,2020-03-22 11:07:37,270,0,345068,장동민
32,2020-03-22 06:43:59,153,0,345067,장동민
33,2020-03-21 19:59:41,179,0,345066,장동민
34,2020-03-19 23:18:18,247,3,345065,장동민
35,2020-03-19 20:25:35,105,0,345064,장동민
36,2020-03-19 06:14:25,126,2,345062,장동민
37,2020-03-19 03:16:14,119,1,345061,장동민
38,2020-03-18 22:59:16,128,5,345060,장동민
39,2020-03-17 23:00:07,111,1,345058,장동민
40,2020-03-16 23:38:03,75,1,345057,장동민
41,2020-03-15 16:11:08,155,3,345056,장동민
42,2020-03-14 22:27:58,218,3,345055,장동민
43,2020-03-14 18:21:03,138,0,345054,장동민
44,2020-03-14 10:21:04,130,1,345053,장동민
45,2020-03-14 03:06:06,217,4,345052,장동민
46,2020-03-12 14:24:39,146,0,345051,장동민
47,2020-03-07 22:49:18,187,2,345050,장동민
48,2020-03-07 14:20:27,131,1,345049,장동민
49,2020-03-06 23:11:08,173,5,345047,장동민
50,2020-03-05 23:13:24,109,0,345046,장동민
51,2020-03-05 00:23:09,214,0,345045,장동민
52,2020-03-01 19:30:14,118,1,345042,장동민
53,2020-03-01 12:36:30,197,5,345041,장동민
54,2020-03-01 12:23:07,158,1,345040,장동민
55,2020-03-01 00:52:54,124,0,345039,장동민
56,2020-02-29 04:04:23,162,0,345037,장동민
57,2020-02-26 00:22:59,163,0,345032,장동민
58,2020-02-25 15:10:41,283,1,345031,장동민
59,2020-02-23 13:30:24,362,1,345026,장동민
60,2020-02-23 00:14:24,204,0,345025,장동민
61,2020-02-22 12:09:35,165,0,345024,장동민
62,2020-02-22 06:52:53,308,3,345023,장동민
63,2020-02-22 00:08:02,260,0,345022,장동민
64,2020-02-19 22:11:42,191,3,345021,장동민
65,2020-02-19 00:37:36,171,0,345020,장동민
66,2020-02-17 22:48:49,220,1,345019,장동민
67,2020-02-15 21:49:07,181,1,345018,장동민
68,2020-02-15 16:44:58,208,1,345017,장동민
69,2020-02-15 00:49:00,171,0,345015,장동민
70,2020-02-14 11:02:48,251,4,345014,장동민
71,2020-02-13 09:16:26,140,2,345013,장동민
72,2020-02-11 21:41:53,192,4,345012,장동민
73,2020-02-11 08:05:51,234,6,345011,장동민
74,2020-02-11 01:14:52,160,0,345010,장동민
75,2020-02-11 00:52:23,242,3,345009,장동민
76,2020-02-11 00:11:43,147,0,345008,장동민
77,2020-02-10 02:12:19,197,2,345007,장동민
78,2020-02-09 18:18:31,175,0,345006,장동민
79,2020-02-09 17:16:19,151,0,345005,장동민
80,2020-02-08 18:20:51,98,1,345004,장동민
81,2020-02-06 15:18:20,146,1,345003,장동민
82,2020-02-06 14:13:03,140,2,345002,장동민
83,2020-02-05 18:13:22,242,0,345001,장동민
84,2020-02-05 10:48:53,126,1,345000,장동민
85,2020-02-05 02:39:52,229,2,344999,장동민
86,2020-02-04 14:03:33,164,0,344998,장동민
87,2020-02-04 06:27:40,177,0,344997,장동민
88,2020-02-04 01:55:37,153,1,344996,장동민
89,2020-02-03 22:09:25,79,0,344994,장동민
90,2020-02-03 12:13:50,167,3,344993,장동민
