,date,views,recommend,number,singer
0,2014-01-21 17:10:41,42387,536,공지,정우
1,2014-01-21 16:45:41,25561,488,공지,정우
2,2020-05-07 21:39:59,2,0,275286,정우
3,2020-04-23 16:58:04,71,0,275285,정우
4,2020-04-23 16:18:22,71,0,275284,정우
5,2020-04-23 00:47:04,100,0,275283,정우
6,2020-04-12 21:26:59,369,0,275281,정우
7,2020-04-06 21:56:19,283,1,275280,정우
8,2020-04-06 21:15:58,347,0,275279,정우
9,2020-04-06 20:09:31,263,1,275278,정우
10,2020-03-26 01:07:41,414,0,275277,정우
11,2020-03-03 01:14:19,224,0,275273,정우
12,2020-02-28 13:30:28,453,1,275271,정우
13,2020-02-26 21:32:36,431,0,275269,정우
14,2020-02-26 20:11:10,418,0,275268,정우
15,2020-02-25 14:07:59,441,23,275266,정우
16,2020-02-24 07:19:11,376,0,275264,정우
17,2020-02-23 16:07:12,239,1,275263,정우
18,2020-02-18 18:58:53,516,0,275261,정우
19,2020-02-18 03:43:44,268,1,275260,정우
20,2020-02-14 01:14:01,129,0,275259,정우
21,2020-02-11 01:14:46,91,0,275258,정우
22,2020-02-10 02:06:27,330,0,275257,정우
23,2020-02-10 01:14:33,100,0,275256,정우
24,2020-02-07 15:21:07,212,2,275254,정우
25,2020-02-07 13:34:56,138,0,275253,정우
26,2020-02-07 13:27:51,128,0,275252,정우
27,2020-02-07 09:39:13,117,0,275251,정우
28,2020-02-07 00:00:13,144,1,275250,정우
29,2020-02-03 02:09:16,233,1,275249,정우
30,2020-01-27 01:14:44,172,0,275247,정우
31,2020-01-25 18:01:27,319,1,275246,정우
32,2020-01-18 13:37:02,332,1,275245,정우
33,2020-01-01 00:06:33,505,3,275243,정우
34,2019-12-23 22:48:29,438,4,275242,정우
35,2019-12-02 17:48:36,791,5,275241,정우
36,2019-11-29 22:56:08,342,0,275240,정우
37,2019-11-29 22:55:02,387,1,275239,정우
38,2019-11-27 19:16:24,165,0,275238,정우
39,2019-11-26 00:05:48,348,2,275237,정우
40,2019-11-18 19:36:11,494,1,275236,정우
41,2019-11-16 20:39:55,444,0,275234,정우
42,2019-11-01 23:03:17,584,1,275232,정우
43,2019-10-12 23:26:36,442,0,275230,정우
44,2019-10-12 01:17:11,625,0,275229,정우
45,2019-10-06 19:49:37,530,0,275227,정우
46,2019-10-06 12:15:36,1010,0,275226,정우
47,2019-10-05 20:29:58,402,0,275225,정우
48,2019-10-04 22:15:23,376,0,275224,정우
49,2019-09-13 08:41:59,338,0,275223,정우
50,2019-09-04 01:14:28,347,0,275222,정우
51,2019-08-21 09:58:29,2323,13,275221,정우
52,2019-07-25 22:49:04,1406,16,275219,정우
53,2019-07-22 23:20:43,546,0,275218,정우
54,2019-07-22 19:40:03,492,0,275217,정우
55,2019-07-04 19:06:40,562,0,275215,정우
56,2019-07-02 05:43:44,531,1,275214,정우
57,2019-06-18 17:45:57,942,2,275211,정우
58,2019-04-02 11:27:08,2474,17,275209,정우
59,2019-03-22 08:43:38,834,0,275208,정우
60,2019-03-21 10:12:33,2215,14,275207,정우
61,2019-03-13 19:52:57,1109,0,275206,정우
62,2019-02-18 22:01:54,565,0,275205,정우
63,2019-02-18 09:46:25,682,0,275204,정우
64,2019-02-18 09:35:23,507,0,275203,정우
65,2019-02-18 00:13:57,731,0,275202,정우
66,2019-02-06 09:42:24,1119,0,275201,정우
67,2019-02-05 02:26:54,739,4,275200,정우
68,2019-01-25 18:16:58,757,1,275199,정우
69,2019-01-25 18:14:10,2104,13,275198,정우
70,2019-01-19 21:12:55,630,1,275197,정우
71,2019-01-14 13:14:28,395,0,275194,정우
72,2019-01-10 13:14:32,389,0,275190,정우
73,2019-01-06 11:49:41,916,0,275186,정우
74,2019-01-04 11:54:48,1486,0,275185,정우
75,2019-01-04 10:57:00,1123,0,275184,정우
76,2019-01-02 23:49:18,813,0,275181,정우
77,2019-01-01 22:04:40,512,0,275180,정우
78,2018-12-20 00:22:12,1272,0,275172,정우
79,2018-12-18 20:06:25,1761,20,275170,정우
80,2018-12-18 09:17:22,528,0,275169,정우
81,2018-12-17 06:39:17,667,1,275168,정우
82,2018-11-22 00:39:33,1260,0,275160,정우
83,2018-11-21 07:24:17,991,4,275159,정우
84,2018-11-20 15:38:35,1813,19,275158,정우
85,2018-11-13 22:32:38,814,0,275145,정우
86,2018-11-08 11:25:14,797,0,275144,정우
87,2018-10-25 18:37:31,810,0,275143,정우
88,2018-10-24 23:29:48,974,0,275142,정우
89,2018-10-20 15:43:38,1041,3,275141,정우
90,2018-10-05 12:11:53,2163,26,275138,정우
91,2018-09-30 20:28:46,881,0,275132,정우
92,2018-09-30 11:03:08,1119,0,275131,정우
93,2018-08-23 10:00:49,1720,2,275101,정우
94,2018-08-22 19:10:52,1197,0,275100,정우
95,2018-08-01 10:40:49,1760,14,275099,정우
96,2018-07-25 11:13:21,1291,0,275096,정우
97,2018-07-13 16:32:25,1468,2,275071,정우
98,2018-06-27 19:00:28,1259,0,275036,정우
99,2018-06-26 17:33:26,1375,1,275035,정우
100,2018-06-26 16:18:15,1958,16,275034,정우
101,2018-06-26 15:29:51,1594,15,275033,정우
102,2018-06-26 15:05:31,1512,0,275032,정우
103,2018-06-22 21:52:51,950,0,275022,정우
104,2018-06-04 14:03:24,1021,0,275021,정우
105,2018-06-04 12:21:52,977,0,275020,정우
106,2018-05-30 13:33:08,1217,0,275019,정우
107,2018-05-29 15:25:59,812,0,275018,정우
108,2018-05-18 01:47:07,1083,2,275017,정우
109,2018-05-17 16:03:15,592,0,275016,정우
110,2018-05-10 11:42:26,563,0,275015,정우
111,2018-05-08 07:59:52,717,0,275014,정우
112,2018-05-03 16:48:44,893,0,275013,정우
113,2018-04-27 15:03:56,897,0,275012,정우
114,2018-04-22 01:14:22,633,0,275011,정우
115,2018-04-20 17:12:39,991,0,275010,정우
116,2018-04-10 13:07:58,1062,0,275009,정우
117,2018-04-09 03:36:01,803,0,275008,정우
118,2018-04-06 12:47:29,758,0,275007,정우
119,2018-03-25 09:59:12,1195,0,275006,정우
120,2018-03-22 19:10:17,645,0,275005,정우
121,2018-03-20 21:17:31,800,0,275004,정우
122,2018-03-20 14:03:45,967,0,275003,정우
123,2018-03-18 20:47:07,1234,0,275002,정우
124,2018-03-14 11:49:46,1382,16,275001,정우
125,2018-03-13 10:35:34,476,0,275000,정우
126,2018-03-10 17:17:02,881,0,274999,정우
127,2018-03-10 16:34:06,700,0,274998,정우
128,2018-03-09 09:26:30,623,0,274997,정우
129,2018-03-07 11:16:01,618,0,274996,정우
130,2018-03-07 11:08:34,375,0,274995,정우
131,2018-03-06 21:15:23,931,0,274994,정우
132,2018-03-05 23:05:43,1171,0,274993,정우
133,2018-03-05 10:30:26,529,0,274992,정우
134,2018-03-02 10:23:47,548,0,274991,정우
135,2018-03-01 23:29:45,647,0,274990,정우
136,2018-03-01 22:20:45,430,0,274989,정우
137,2018-03-01 21:21:43,495,0,274988,정우
138,2018-03-01 12:38:42,320,0,274987,정우
139,2018-03-01 04:04:42,467,0,274986,정우
140,2018-03-01 01:45:12,404,0,274985,정우
141,2018-03-01 01:37:18,372,0,274984,정우
142,2018-03-01 00:33:39,349,0,274983,정우
143,2018-03-01 00:13:16,372,1,274982,정우
144,2018-02-28 10:51:49,618,5,274981,정우
145,2018-02-26 14:16:32,814,2,274980,정우
146,2018-02-22 21:41:45,677,1,274979,정우
147,2018-02-18 19:52:53,528,0,274977,정우
148,2018-02-18 17:48:07,991,12,274976,정우
