,date,views,recommend,number,singer
0,2014-06-28 22:49:36,7448,125,공지,정은우
1,2014-06-07 14:01:43,6725,137,공지,정은우
2,2014-05-20 11:43:16,8143,270,공지,정은우
3,2020-04-24 16:56:41,22,0,12072,정은우
4,2019-11-27 19:31:23,92,0,12065,정은우
5,2019-05-03 10:03:20,747,6,12063,정은우
6,2019-02-26 13:53:40,530,11,12062,정은우
7,2018-10-19 16:08:08,563,2,12034,정은우
8,2018-10-19 15:59:54,440,2,12033,정은우
9,2018-10-08 10:33:32,330,1,12031,정은우
10,2018-09-26 17:34:55,566,1,12030,정은우
11,2018-09-25 14:20:37,496,3,12029,정은우
12,2018-09-20 21:31:18,486,2,12028,정은우
13,2018-09-12 17:10:33,537,1,12025,정은우
14,2018-09-12 17:05:55,573,1,12024,정은우
15,2018-09-11 17:32:25,334,1,12023,정은우
16,2018-09-10 20:16:04,532,1,12022,정은우
17,2018-09-08 20:23:37,514,2,12021,정은우
18,2018-09-07 13:45:26,494,1,12020,정은우
19,2018-09-07 11:36:20,700,1,12019,정은우
20,2018-09-04 10:10:43,500,2,12018,정은우
21,2018-08-31 11:18:23,534,3,12017,정은우
22,2018-08-25 08:30:30,457,2,12016,정은우
23,2018-08-22 22:46:28,1394,46,12015,정은우
24,2018-08-16 10:22:29,522,3,12014,정은우
25,2018-08-15 10:57:52,656,3,12013,정은우
26,2018-08-03 17:56:14,403,4,12012,정은우
27,2018-07-31 13:46:17,526,1,12011,정은우
28,2018-05-30 20:38:59,403,4,11938,정은우
29,2018-05-13 13:20:39,490,1,11937,정은우
30,2018-05-04 21:27:47,495,4,11936,정은우
31,2018-03-07 12:57:55,515,0,11935,정은우
32,2017-10-06 23:04:32,1116,7,11925,정은우
33,2017-10-05 05:21:30,731,3,11924,정은우
34,2017-07-25 17:27:03,827,0,11867,정은우
35,2017-07-25 10:08:37,527,3,11865,정은우
36,2017-07-22 09:00:15,725,2,11860,정은우
37,2017-07-20 00:46:23,661,0,11855,정은우
38,2017-07-18 08:15:35,560,0,11852,정은우
39,2017-07-17 19:39:35,564,1,11850,정은우
40,2017-07-13 08:36:10,313,0,11832,정은우
41,2017-07-12 23:31:37,316,0,11823,정은우
42,2017-07-10 07:08:13,334,0,11811,정은우
43,2017-07-08 12:03:47,376,1,11806,정은우
44,2017-07-01 23:35:25,322,0,11768,정은우
45,2017-07-01 08:39:06,600,1,11763,정은우
46,2017-06-28 10:20:54,329,0,11754,정은우
47,2017-06-27 07:02:12,480,4,11753,정은우
48,2017-06-26 23:12:38,347,1,11742,정은우
