,date,views,recommend,number,singer
0,2012-10-20 12:44:16,5559,164,공지,정재형
1,2011-10-17 21:40:51,12148,13,공지,정재형
2,2011-11-04 19:13:37,4808,5,공지,정재형
3,2020-05-03 19:19:53,25,0,44502,정재형
4,2020-04-30 22:31:54,52,1,44501,정재형
5,2020-04-26 18:36:04,43,0,44500,정재형
6,2020-04-21 19:33:06,35,0,44499,정재형
7,2020-04-20 11:50:52,29,0,44498,정재형
8,2020-04-20 10:50:10,31,0,44497,정재형
9,2020-04-20 09:10:37,37,2,44496,정재형
10,2020-04-20 09:06:38,54,1,44495,정재형
11,2020-04-20 06:24:53,34,0,44494,정재형
12,2020-04-19 20:57:24,55,0,44493,정재형
13,2020-04-19 18:55:59,37,0,44492,정재형
14,2020-04-18 21:04:50,66,1,44491,정재형
15,2020-04-18 21:02:53,91,1,44490,정재형
16,2020-04-18 20:37:36,38,0,44489,정재형
17,2020-04-18 20:14:29,59,0,44488,정재형
18,2020-04-18 20:04:46,35,0,44487,정재형
19,2020-04-18 19:28:36,49,0,44486,정재형
20,2020-04-18 19:21:27,43,0,44485,정재형
21,2020-04-18 14:17:00,35,0,44484,정재형
22,2020-04-12 16:54:09,47,0,44483,정재형
23,2020-04-07 20:06:48,54,0,44482,정재형
24,2020-04-06 20:10:33,65,0,44480,정재형
25,2020-04-05 16:36:19,49,0,44479,정재형
26,2020-03-29 18:23:05,58,0,44478,정재형
27,2020-03-22 18:29:42,71,0,44477,정재형
28,2020-03-21 20:21:03,97,0,44476,정재형
29,2020-03-15 16:40:03,82,0,44473,정재형
30,2020-03-08 20:11:51,56,0,44472,정재형
31,2020-03-01 21:11:00,65,0,44471,정재형
32,2020-02-24 07:09:55,101,0,44467,정재형
33,2020-02-23 20:56:07,73,0,44466,정재형
34,2020-02-22 18:12:13,95,0,44465,정재형
35,2020-02-22 16:14:25,71,0,44464,정재형
36,2020-02-16 19:41:07,64,0,44463,정재형
37,2020-02-02 19:39:11,90,0,44462,정재형
38,2020-01-27 21:11:55,128,0,44461,정재형
39,2020-01-26 17:56:21,80,0,44460,정재형
40,2020-01-26 00:15:28,149,0,44459,정재형
41,2020-01-23 10:31:25,180,2,44458,정재형
42,2020-01-19 14:02:17,101,0,44457,정재형
43,2020-01-13 14:51:39,147,0,44456,정재형
44,2020-01-12 23:27:45,105,1,44455,정재형
45,2020-01-12 20:10:02,96,0,44454,정재형
46,2020-01-12 17:52:14,155,1,44453,정재형
47,2020-01-10 21:42:41,104,1,44452,정재형
48,2020-01-10 16:29:46,102,1,44451,정재형
49,2020-01-09 11:14:54,109,0,44450,정재형
50,2020-01-09 00:42:43,193,3,44449,정재형
51,2020-01-08 23:58:43,86,0,44448,정재형
52,2020-01-08 23:57:46,87,0,44447,정재형
53,2020-01-08 23:57:32,92,0,44446,정재형
54,2020-01-08 23:56:19,86,0,44445,정재형
55,2020-01-08 23:55:33,99,0,44444,정재형
56,2020-01-08 23:54:23,89,0,44443,정재형
57,2020-01-08 23:53:39,79,0,44442,정재형
58,2020-01-08 23:47:24,85,0,44441,정재형
59,2020-01-08 23:46:05,85,0,44440,정재형
60,2020-01-08 23:45:25,79,0,44439,정재형
61,2020-01-08 23:42:30,86,0,44438,정재형
62,2020-01-08 23:41:31,74,0,44437,정재형
63,2020-01-08 23:40:16,74,0,44436,정재형
64,2020-01-08 23:36:16,73,0,44435,정재형
65,2020-01-08 23:35:37,76,0,44434,정재형
66,2020-01-08 23:34:25,78,0,44433,정재형
67,2020-01-08 23:33:05,76,0,44432,정재형
68,2020-01-08 23:30:21,67,0,44431,정재형
69,2020-01-08 23:28:09,81,0,44430,정재형
70,2020-01-08 23:25:22,60,0,44429,정재형
71,2020-01-08 23:20:57,68,0,44428,정재형
72,2020-01-08 23:20:37,58,0,44427,정재형
73,2020-01-08 23:19:54,84,0,44426,정재형
74,2020-01-08 23:17:45,54,0,44425,정재형
75,2020-01-08 23:12:09,54,0,44424,정재형
76,2020-01-08 23:11:31,55,0,44423,정재형
77,2020-01-08 23:10:59,65,0,44422,정재형
78,2020-01-08 23:09:46,50,0,44421,정재형
79,2020-01-08 23:07:30,50,0,44420,정재형
80,2020-01-08 23:07:00,56,0,44419,정재형
81,2020-01-08 23:04:40,52,0,44418,정재형
82,2020-01-08 23:03:21,43,0,44417,정재형
83,2020-01-08 22:59:14,44,0,44416,정재형
84,2020-01-08 22:57:33,40,0,44415,정재형
85,2020-01-08 22:57:00,36,0,44414,정재형
86,2020-01-08 14:47:59,63,0,44413,정재형
87,2020-01-05 17:51:32,45,0,44412,정재형
88,2020-01-01 00:21:59,68,0,44411,정재형
89,2019-12-29 18:28:03,61,0,44410,정재형
90,2019-12-26 23:27:30,131,0,44409,정재형
91,2019-12-26 16:47:08,63,0,44408,정재형
92,2019-12-25 16:54:25,83,2,44407,정재형
93,2019-12-25 15:19:15,90,1,44406,정재형
94,2019-12-25 15:15:20,46,0,44405,정재형
95,2019-12-25 15:13:51,56,0,44404,정재형
96,2019-12-25 15:11:17,66,0,44403,정재형
97,2019-12-25 15:09:09,42,0,44402,정재형
98,2019-12-25 15:06:00,46,0,44401,정재형
99,2019-12-25 15:04:47,42,0,44400,정재형
100,2019-12-25 15:01:06,50,0,44399,정재형
101,2019-12-25 14:58:13,33,0,44398,정재형
102,2019-12-25 14:56:26,36,0,44397,정재형
103,2019-12-25 14:54:00,34,0,44396,정재형
104,2019-12-25 14:52:53,38,0,44395,정재형
105,2019-12-25 14:45:56,50,0,44394,정재형
106,2019-12-25 14:38:06,47,0,44393,정재형
107,2019-12-25 14:37:14,56,0,44392,정재형
108,2019-12-25 14:34:32,43,0,44391,정재형
109,2019-12-25 14:33:30,40,0,44390,정재형
110,2019-12-25 14:24:21,39,0,44389,정재형
111,2019-12-25 14:23:43,41,0,44388,정재형
112,2019-12-25 14:22:43,32,0,44387,정재형
113,2019-12-25 14:19:50,40,0,44386,정재형
114,2019-12-25 14:15:55,39,0,44385,정재형
115,2019-12-25 14:14:18,38,0,44384,정재형
116,2019-12-25 14:12:32,39,0,44383,정재형
117,2019-12-25 14:11:03,40,0,44382,정재형
118,2019-12-25 14:10:04,37,0,44381,정재형
119,2019-12-25 14:09:12,35,0,44380,정재형
120,2019-12-22 18:02:59,61,1,44379,정재형
121,2019-12-21 11:32:23,101,2,44378,정재형
122,2019-12-20 18:04:57,80,3,44377,정재형
123,2019-12-20 10:38:22,51,1,44376,정재형
124,2019-12-19 14:25:49,71,0,44375,정재형
125,2019-12-19 08:33:04,54,0,44374,정재형
126,2019-12-19 00:22:57,70,1,44373,정재형
127,2019-12-15 21:47:10,66,3,44372,정재형
128,2019-12-13 14:56:00,82,3,44371,정재형
129,2019-12-13 14:55:01,88,2,44370,정재형
130,2019-12-13 14:54:20,78,1,44369,정재형
131,2019-12-10 14:31:32,155,0,44368,정재형
132,2019-12-10 12:31:14,121,0,44367,정재형
133,2019-12-09 23:41:59,110,1,44366,정재형
134,2019-12-09 00:37:37,137,0,44365,정재형
135,2019-12-08 22:28:50,87,2,44364,정재형
136,2019-12-08 21:00:22,144,2,44363,정재형
137,2019-12-08 20:17:40,141,3,44362,정재형
138,2019-12-08 19:30:09,105,2,44361,정재형
139,2019-12-08 17:00:22,63,0,44360,정재형
140,2019-12-08 16:59:50,66,0,44359,정재형
141,2019-12-08 16:59:09,80,0,44358,정재형
142,2019-12-08 16:48:50,98,0,44357,정재형
143,2019-12-08 16:46:26,61,0,44356,정재형
144,2019-12-08 16:34:38,62,0,44355,정재형
145,2019-12-08 16:27:06,102,0,44354,정재형
146,2019-12-08 16:15:08,64,0,44353,정재형
147,2019-12-08 13:24:33,131,1,44352,정재형
148,2019-12-08 13:05:36,80,0,44347,정재형
149,2019-12-07 22:52:27,80,0,44346,정재형
150,2019-12-07 18:01:32,119,1,44345,정재형
151,2019-12-07 17:46:35,79,1,44343,정재형
152,2019-12-07 17:21:52,88,1,44342,정재형
153,2019-12-07 16:58:22,82,1,44341,정재형
154,2019-12-07 16:36:04,87,1,44339,정재형
