,date,views,recommend,number,singer
0,2020-04-07 20:38:50,47,3,27532,테이
1,2020-04-05 23:33:20,72,4,27531,테이
2,2020-04-04 14:44:36,56,5,27530,테이
3,2020-03-27 23:47:45,110,0,27529,테이
4,2020-03-21 05:52:46,78,1,27527,테이
5,2020-03-17 06:09:43,74,0,27524,테이
6,2020-03-17 06:06:55,139,0,27523,테이
7,2020-03-05 12:38:20,80,0,27522,테이
8,2020-01-28 19:44:10,105,3,27514,테이
9,2020-01-01 16:58:06,284,4,27513,테이
10,2019-12-18 00:58:04,258,4,27512,테이
11,2019-11-27 19:22:25,148,0,27511,테이
12,2019-11-04 03:20:39,436,7,27510,테이
13,2019-10-17 06:34:36,618,4,27509,테이
14,2019-09-26 01:06:22,537,13,27508,테이
15,2019-09-23 00:13:33,472,9,27507,테이
16,2019-09-22 08:51:50,226,0,27506,테이
17,2019-09-10 13:39:38,281,1,27505,테이
18,2019-09-09 17:54:25,388,0,27504,테이
19,2019-08-21 22:37:35,674,4,27503,테이
20,2019-08-19 16:00:43,616,5,27502,테이
21,2019-08-12 03:27:05,375,1,27496,테이
22,2019-08-03 21:34:40,585,1,27493,테이
23,2019-07-30 22:20:08,497,0,27492,테이
24,2019-07-29 18:30:27,549,1,27491,테이
25,2019-07-24 23:09:30,468,0,27490,테이
26,2019-07-23 05:12:57,501,0,27489,테이
27,2019-06-28 19:41:12,587,0,27487,테이
28,2019-06-11 09:50:42,607,2,27485,테이
29,2019-04-20 01:25:30,686,3,27484,테이
30,2019-04-15 15:36:22,561,1,27483,테이
31,2019-03-14 12:26:08,517,0,27478,테이
32,2019-03-12 11:38:08,795,1,27476,테이
33,2019-03-08 21:42:29,501,1,27475,테이
34,2019-03-08 17:26:25,498,0,27474,테이
35,2019-02-12 13:45:40,517,0,27473,테이
36,2019-02-10 02:07:36,447,1,27472,테이
37,2019-02-09 20:49:59,474,0,27471,테이
38,2019-02-09 13:41:27,412,0,27470,테이
39,2019-02-09 04:23:23,312,0,27468,테이
40,2019-02-08 18:16:57,384,0,27467,테이
41,2019-01-28 06:54:18,684,0,27465,테이
42,2019-01-01 20:29:36,435,0,27458,테이
43,2018-12-23 19:09:09,571,0,27451,테이
44,2018-11-08 23:56:52,807,2,27428,테이
45,2018-11-04 20:23:54,484,0,27427,테이
46,2018-11-03 13:24:58,414,0,27426,테이
47,2018-10-02 17:30:28,731,0,27418,테이
48,2018-09-24 07:13:13,536,0,27416,테이
49,2018-09-18 18:57:39,698,0,27401,테이
50,2018-09-18 17:41:57,440,0,27400,테이
51,2018-09-14 23:58:41,398,0,27398,테이
52,2018-09-06 23:14:32,558,8,27387,테이
53,2018-09-06 09:17:41,833,0,27386,테이
54,2018-09-06 01:00:21,640,0,27385,테이
55,2018-09-05 04:54:26,635,2,27384,테이
56,2018-09-05 04:03:54,459,0,27383,테이
57,2018-09-03 05:52:40,493,0,27382,테이
58,2018-08-24 17:22:48,409,0,27381,테이
59,2018-08-16 16:53:17,401,0,27379,테이
60,2018-08-03 15:41:37,356,0,27377,테이
61,2018-07-16 04:24:16,358,0,27356,테이
62,2018-07-01 23:48:09,392,0,27323,테이
63,2018-06-30 22:29:40,315,0,27316,테이
64,2018-06-30 19:00:20,336,0,27315,테이
65,2018-06-29 23:58:33,261,0,27314,테이
66,2018-06-27 23:11:17,390,9,27312,테이
67,2018-06-27 23:04:21,347,0,27311,테이
68,2018-06-27 22:42:46,292,0,27310,테이
69,2018-06-26 22:58:44,362,0,27309,테이
70,2018-06-18 22:32:09,515,0,27301,테이
71,2018-06-17 19:04:47,446,0,27300,테이
72,2018-06-07 00:31:40,323,0,27299,테이
73,2018-06-02 16:23:37,423,0,27298,테이
74,2018-05-29 23:23:07,271,0,27297,테이
75,2018-05-25 22:01:25,204,0,27296,테이
76,2018-05-15 04:40:13,525,0,27295,테이
77,2018-04-19 18:28:30,591,0,27291,테이
78,2018-04-16 01:58:50,372,0,27290,테이
79,2018-04-09 07:35:12,361,0,27289,테이
80,2018-04-04 22:28:36,537,0,27288,테이
81,2018-04-04 21:19:04,187,0,27287,테이
82,2018-03-31 16:42:03,348,0,27286,테이
83,2018-03-25 22:50:25,212,0,27285,테이
84,2018-03-20 18:15:10,359,0,27284,테이
85,2018-03-19 03:04:36,374,1,27283,테이
86,2018-03-14 17:17:11,271,0,27282,테이
87,2018-03-14 07:36:09,392,0,27281,테이
88,2018-03-13 21:38:06,329,0,27280,테이
89,2018-03-11 21:38:31,264,0,27279,테이
90,2018-03-10 21:29:06,259,0,27278,테이
91,2018-03-10 21:03:05,200,0,27277,테이
92,2018-03-03 21:48:41,257,0,27276,테이
93,2018-02-26 10:16:45,238,0,27275,테이
94,2018-02-12 15:27:54,226,0,27273,테이
95,2018-02-07 16:53:50,172,0,27272,테이
96,2018-01-30 22:38:09,273,0,27270,테이
97,2018-01-26 22:05:24,259,0,27269,테이
98,2018-01-17 10:20:49,313,0,27268,테이
