,date,views,recommend,number,singer
0,2020-05-07 18:22:24,22,0,161646,피아
1,2020-05-07 10:31:05,29,0,161645,피아
2,2020-05-01 13:11:42,99,0,161644,피아
3,2020-04-16 19:02:32,168,2,161643,피아
4,2020-04-16 11:15:22,106,0,161642,피아
5,2020-04-16 09:23:35,64,0,161641,피아
6,2020-04-16 03:38:48,61,0,161640,피아
7,2020-04-15 04:04:22,104,0,161639,피아
8,2020-04-12 01:17:56,173,0,161637,피아
9,2020-04-09 19:16:34,78,0,161636,피아
10,2020-04-07 20:47:33,139,1,161635,피아
11,2020-04-07 00:56:49,165,1,161634,피아
12,2020-04-03 13:52:03,161,0,161633,피아
13,2020-04-02 04:47:19,186,2,161632,피아
14,2020-04-01 11:13:02,136,0,161631,피아
15,2020-03-31 16:51:10,77,0,161630,피아
16,2020-03-29 22:57:22,74,0,161629,피아
17,2020-03-26 18:08:55,72,0,161628,피아
18,2020-03-25 10:40:51,141,0,161626,피아
19,2020-03-24 15:03:20,181,0,161625,피아
20,2020-03-17 19:17:28,202,0,161621,피아
21,2020-03-12 02:44:47,103,0,161608,피아
22,2020-03-12 01:46:04,133,0,161607,피아
23,2020-02-28 22:06:22,287,5,161604,피아
24,2020-02-28 19:47:38,144,1,161603,피아
25,2020-02-28 15:37:08,168,0,161602,피아
26,2020-02-28 11:20:13,259,0,161601,피아
27,2020-02-27 13:29:11,105,1,161600,피아
28,2020-02-27 03:24:25,210,0,161598,피아
29,2020-02-20 19:09:28,186,0,161596,피아
30,2020-02-20 07:31:31,218,0,161595,피아
31,2020-02-19 19:03:11,134,0,161594,피아
32,2020-02-16 23:16:42,202,0,161593,피아
33,2020-02-15 15:21:27,168,0,161592,피아
34,2020-02-14 23:50:32,141,2,161591,피아
35,2020-02-14 16:33:46,106,0,161589,피아
36,2020-02-14 14:15:59,68,0,161588,피아
37,2020-02-13 23:29:20,236,0,161587,피아
38,2020-02-13 21:54:12,97,0,161586,피아
39,2020-02-10 13:57:21,144,0,161585,피아
40,2020-02-09 16:44:13,150,0,161584,피아
41,2020-02-08 11:16:58,139,0,161583,피아
42,2020-02-07 02:36:58,325,0,161582,피아
43,2020-02-06 18:35:57,152,0,161581,피아
44,2020-02-05 18:17:32,121,0,161580,피아
45,2020-02-05 01:08:48,91,0,161579,피아
46,2020-02-03 23:59:59,214,1,161578,피아
47,2020-01-30 21:28:50,192,0,161577,피아
48,2020-01-30 11:19:50,215,1,161576,피아
49,2020-01-30 11:07:13,100,0,161575,피아
50,2020-01-29 02:43:13,212,0,161574,피아
51,2020-01-28 11:43:32,142,1,161573,피아
52,2020-01-27 17:12:32,184,0,161572,피아
53,2020-01-26 21:15:03,174,0,161571,피아
54,2020-01-25 19:09:24,170,0,161570,피아
55,2020-01-24 12:18:58,207,5,161569,피아
56,2020-01-24 01:11:00,121,0,161568,피아
57,2020-01-21 12:28:15,385,17,161566,피아
58,2020-01-20 23:59:45,104,0,161565,피아
59,2020-01-19 20:19:48,106,0,161564,피아
60,2020-01-18 20:15:37,335,0,161563,피아
61,2020-01-12 23:35:10,105,0,161562,피아
62,2020-01-11 08:14:57,165,0,161560,피아
63,2020-01-10 23:19:29,271,0,161559,피아
64,2020-01-10 00:34:54,210,1,161558,피아
65,2020-01-09 20:16:29,158,0,161557,피아
66,2020-01-08 06:22:36,353,0,161556,피아
67,2020-01-07 12:25:18,173,0,161555,피아
68,2020-01-06 22:30:23,146,0,161554,피아
69,2020-01-05 02:17:35,147,0,161553,피아
70,2020-01-04 15:59:48,168,0,161552,피아
71,2020-01-03 21:17:50,253,1,161551,피아
72,2020-01-02 18:01:26,138,0,161550,피아
73,2020-01-01 00:51:19,141,0,161549,피아
74,2019-12-31 12:53:58,159,0,161548,피아
75,2019-12-29 22:56:41,247,0,161547,피아
