"","제목","시청률","주차"
"1","토일드라마(라이브)","6.802","20180422"
"2","신들린추적스릴러작은신의아이들","3.926","20180422"
"3","코미디빅리그","2.902","20180422"
"4","2018메이저리그","2.757","20180422"
"5","류현진REVIEW","2.074","20180422"
"6","출발640","1.935","20180422"
"7","연합뉴스TV뉴스08","1.928","20180422"
"8","연합뉴스TV뉴스14","1.667","20180422"
"9","모닝와이2부","1.633","20180422"
"10","서울메이트글로벌홈셰어","1.615","20180422"
"11","토일드라마(라이브)","6.802","20180422"
"12","신들린추적스릴러작은신의아이들","3.926","20180422"
"13","코미디빅리그","2.902","20180422"
"14","2018메이저리그","2.757","20180422"
"15","류현진REVIEW","2.074","20180422"
"16","출발640","1.935","20180422"
"17","연합뉴스TV뉴스08","1.928","20180422"
"18","연합뉴스TV뉴스14","1.667","20180422"
"19","모닝와이2부","1.633","20180422"
"20","서울메이트글로벌홈셰어","1.615","20180422"
"21","백종원의미식방랑기스트리트푸드파이터","1.662","20180423"
"22","연합뉴스TV뉴스13","1.655","20180423"
"23","명단공개2018","1.589","20180423"
"24","연합뉴스TV뉴스12","1.552","20180423"
"25","뉴스포커스","1.497","20180423"
"26","토일드라마(라이브)","1.468","20180423"
"27","뉴스N이슈","1.364","20180423"
"28","모닝와이","1.305","20180423"
"29","대한민국아침뉴스06","1.296","20180423"
"30","출발640","1.269","20180423"
"31","백종원의미식방랑기스트리트푸드파이터","1.662","20180423"
"32","연합뉴스TV뉴스13","1.655","20180423"
"33","명단공개2018","1.589","20180423"
"34","연합뉴스TV뉴스12","1.552","20180423"
"35","뉴스포커스","1.497","20180423"
"36","토일드라마(라이브)","1.468","20180423"
"37","뉴스N이슈","1.364","20180423"
"38","모닝와이","1.305","20180423"
"39","대한민국아침뉴스06","1.296","20180423"
"40","출발640","1.269","20180423"
"41","평균연령15세둥지탈출3","1.923","20180424"
"42","현지에서먹힐까","1.569","20180424"
"43","출발640","1.543","20180424"
"44","모닝와이","1.427","20180424"
"45","백종원의미식방랑기스트리트푸드파이터","1.353","20180424"
"46","연합뉴스TV뉴스13","1.295","20180424"
"47","토일드라마(라이브)","1.289","20180424"
"48","뉴스투나잇1부","1.284","20180424"
"49","김선영의뉴스나이트","1.264","20180424"
"50","뉴스N이슈","1.239","20180424"
"51","평균연령15세둥지탈출3","1.923","20180424"
"52","현지에서먹힐까","1.569","20180424"
"53","출발640","1.543","20180424"
"54","모닝와이","1.427","20180424"
"55","백종원의미식방랑기스트리트푸드파이터","1.353","20180424"
"56","연합뉴스TV뉴스13","1.295","20180424"
"57","토일드라마(라이브)","1.289","20180424"
"58","뉴스투나잇1부","1.284","20180424"
"59","김선영의뉴스나이트","1.264","20180424"
"60","뉴스N이슈","1.239","20180424"
"61","나의아저씨","4.965","20180425"
"62","2018KBO리그","2.134","20180425"
"63","연합뉴스TV뉴스13","1.505","20180425"
"64","수요미식회","1.498","20180425"
"65","뉴스투나잇1부","1.404","20180425"
"66","뉴스투나잇2부","1.395","20180425"
"67","모닝와이","1.332","20180425"
"68","어쩌다어른","1.318","20180425"
"69","김선영의뉴스나이트","1.272","20180425"
"70","뉴스현장","1.251","20180425"
"71","나의아저씨","4.965","20180425"
"72","2018KBO리그","2.134","20180425"
"73","연합뉴스TV뉴스13","1.505","20180425"
"74","수요미식회","1.498","20180425"
"75","뉴스투나잇1부","1.404","20180425"
"76","뉴스투나잇2부","1.395","20180425"
"77","모닝와이","1.332","20180425"
"78","어쩌다어른","1.318","20180425"
"79","김선영의뉴스나이트","1.272","20180425"
"80","뉴스현장","1.251","20180425"
"81","나의아저씨","6.035","20180426"
"82","2018KBO리그","2.182","20180426"
"83","출발640","1.660","20180426"
"84","모닝와이","1.476","20180426"
"85","연합뉴스TV뉴스13","1.271","20180426"
"86","뉴스투나잇1부","1.251","20180426"
"87","나의아저씨","1.242","20180426"
"88","대한민국아침뉴스06","1.169","20180426"
"89","김선영의뉴스나이트","1.145","20180426"
"90","나의아저씨","1.133","20180426"
"91","나의아저씨","6.035","20180426"
"92","2018KBO리그","2.182","20180426"
"93","출발640","1.660","20180426"
"94","모닝와이","1.476","20180426"
"95","연합뉴스TV뉴스13","1.271","20180426"
"96","뉴스투나잇1부","1.251","20180426"
"97","나의아저씨","1.242","20180426"
"98","대한민국아침뉴스06","1.169","20180426"
"99","김선영의뉴스나이트","1.145","20180426"
"100","나의아저씨","1.133","20180426"
"101","자발적고립다큐숲속의작은집","2.763","20180427"
"102","YTN뉴스특보","2.381","20180427"
"103","YTN뉴스특보","1.549","20180427"
"104","뉴스특보평화새로운시작2018남북정상회담","1.485","20180427"
"105","YTN뉴스특보","1.454","20180427"
"106","너의목소리가보여5","1.402","20180427"
"107","뉴스특보평화새로운시작2018남북정상회담","1.359","20180427"
"108","YTN뉴스특보","1.323","20180427"
"109","나의아저씨","1.323","20180427"
"110","뉴스특보평화새로운시작2018남북정상회담","1.262","20180427"
