20200424-20200430,1위,Nonstop (살짝 설렜어),오마이걸(OH MY GIRL),--,1 week,--,3.83M
20200424-20200430,2위,WANNABE,ITZY,지난주 #1,8 weeks,-16.3%,2.07M
20200424-20200430,3위,덤더럼 (Dumhdurum),에이핑크,지난주 #2,3 weeks,-17.4%,1.73M
20200424-20200430,4위,돌덩이,하현우,지난주 #3,10 weeks,-8%,1.53M
20200424-20200430,5위,Stay Tonight,청하,--,1 week,--,1.47M
20200424-20200430,6위,아로하 (Aloha),Jo Jung-suk,지난주 #5,5 weeks,8.4%,1.43M
20200424-20200430,7위,시작,이루리,지난주 #4,12 weeks,-9.8%,1.24M
20200424-20200430,8위,ON,방탄소년단,지난주 #8,10 weeks,3.9%,1.15M
20200424-20200430,9위,LALALILALA,에이프릴(APRIL),지난주 #59,2 weeks,292.8%,1.08M
20200424-20200430,10위,Spit it out (뱉어),솔라,지난주 #53,2 weeks,266.9%,1.06M
20200424-20200430,11위,봄이여 오라 (feat. Yuri),MC 스나이퍼(MC Sniper),지난주 #62,2 weeks,264.1%,963K
20200424-20200430,12위,DANCE MONKEY,톤스 앤 아이,지난주 #7,23 weeks,-19.8%,918K
20200424-20200430,13위,Any song (아무노래),지코(ZICO),지난주 #11,16 weeks,-1%,916K
20200424-20200430,14위,"그때 그 아인 (Someday, The Boy)",김필 (Kim Feel),지난주 #9,10 weeks,-11%,916K
20200424-20200430,15위,FIESTA,아이즈원,지난주 #10,11 weeks,-3.8%,914K
20200424-20200430,16위,METEOR,창모(CHANGMO),지난주 #12,21 weeks,0.8%,861K
20200424-20200430,17위,Oh my god,(여자)아이들,지난주 #6,4 weeks,-36.8%,831K
20200424-20200430,18위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,지난주 #14,28 weeks,-2.4%,800K
20200424-20200430,19위,Blueming(블루밍),아이유(IU),지난주 #15,24 weeks,4.3%,800K
20200424-20200430,20위,Psycho,Red Velvet,지난주 #13,19 weeks,-10.8%,760K
20200424-20200430,21위,염라 (Karma),Dareharu 달의하루,--,1 week,--,732K
20200424-20200430,22위,영웅 (英雄; Kick It),NCT 127,지난주 #26,8 weeks,47.6%,697K
20200424-20200430,23위,Memories,Maroon 5(마룬 파이브),지난주 #24,30 weeks,22.6%,595K
20200424-20200430,24위,니가 왜 거기서 나와 (feat. Go Eun-ah),영탁,지난주 #17,17 weeks,1.9%,577K
20200424-20200430,25위,HIP,마마무(MAMAMOO),지난주 #16,24 weeks,-10.5%,537K
20200424-20200430,26위,오늘도 빛나는 너에게 (To You My Light) (feat. 이라온),Maktub,지난주 #21,46 weeks,3.9%,511K
20200424-20200430,27위,Ridin',NCT DREAM,--,1 week,--,505K
20200424-20200430,28위,좋은 사람 있으면 소개시켜줘,조이,지난주 #19,6 weeks,-2.3%,501K
20200424-20200430,29위,폰서트,10cm(십센치),지난주 #18,34 weeks,-9.4%,493K
20200424-20200430,30위,다섯 번째 계절 (SSFWL),오마이걸(OH MY GIRL),지난주 #50,29 weeks,57.7%,473K
20200424-20200430,31위,BLOOM (처음처럼),엠씨더맥스,지난주 #20,6 weeks,-5.8%,472K
20200424-20200430,32위,Feel Special,TWICE(트와이스),지난주 #29,32 weeks,6.5%,468K
20200424-20200430,33위,Don't Start Now,두아 리파,지난주 #22,26 weeks,-5%,467K
20200424-20200430,34위,Say So,도자캣,지난주 #27,9 weeks,-2.4%,449K
20200424-20200430,35위,Half (반만),진민호,지난주 #23,10 weeks,-10.6%,436K
20200424-20200430,36위,ICY,ITZY,지난주 #37,40 weeks,14%,419K
20200424-20200430,37위,너를 그린 우주 (Insomnia2020) (Feat. 이라온) (feat. 이라온),마크툽(MAKTUB),--,1 week,--,418K
20200424-20200430,38위,깡 GANG,Rain,지난주 #30,9 weeks,-4.4%,413K
20200424-20200430,39위,"야망 (AMBITION) (feat. ASH ISLAND, 김효은, Hash Swan & 창모(CHANGMO))",릴러말즈(Leellamarz),지난주 #34,41 weeks,7.1%,410K
20200424-20200430,40위,BUNGEE (Fall in Love),오마이걸(OH MY GIRL),--,23 weeks,--,400K
20200424-20200430,41위,비밀정원 (Secret Garden),오마이걸(OH MY GIRL),--,23 weeks,--,395K
20200424-20200430,42위,Remember Me (불꽃놀이),오마이걸(OH MY GIRL),--,26 weeks,--,392K
20200424-20200430,43위,빌런 (Villain),스텔라장,지난주 #47,2 weeks,27.7%,387K
20200424-20200430,44위,Painkiller,루엘,지난주 #31,26 weeks,-6.8%,376K
20200424-20200430,45위,Physical (feat. 화사),두아 리파,지난주 #28,8 weeks,-18%,372K
20200424-20200430,46위,Blinding Lights,The Weeknd(위켄드),지난주 #35,8 weeks,-2.6%,365K
20200424-20200430,47위,어떻게 지내 (I Need You),오반,지난주 #39,8 weeks,0.6%,353K
20200424-20200430,48위,웨이백홈,숀,지난주 #45,24 weeks,12.5%,352K
20200424-20200430,49위,주저하는 연인들을 위해 (For Lovers Who Hesitate),잔나비,지난주 #42,32 weeks,3.1%,347K
20200424-20200430,50위,마음이 말하는 행복 (Happiness) (feat.이라온),마크툽(MAKTUB),지난주 #44,16 weeks,8.9%,345K
20200424-20200430,51위,My House,2PM,지난주 #32,15 weeks,-13.1%,345K
20200424-20200430,52위,Give You My Heart (마음을 드려요),아이유(IU),지난주 #36,11 weeks,-6.9%,344K
20200424-20200430,53위,빌었어,창모(CHANGMO),지난주 #40,20 weeks,-3.7%,331K
20200424-20200430,54위,BAD,크리스토퍼,지난주 #43,14 weeks,-3.7%,318K
20200424-20200430,55위,"When I tell you goodbye (아무렇지 않게, 안녕)",박혜원(HYNN),지난주 #49,5 weeks,5%,315K
20200424-20200430,56위,Love poem,아이유(IU),--,21 weeks,--,311K
20200424-20200430,57위,우리 만남이 (But I'll Miss You),폴킴(Paul Kim),--,1 week,--,305K
20200424-20200430,58위,Show Yourself (Idina Menzel(이디나 멘젤) & Evan Rachel Wood),Idina Menzel(이디나 멘젤),지난주 #48,5 weeks,0.1%,302K
20200424-20200430,59위,버릇처럼 셋을 센다,KCM,지난주 #57,10 weeks,6.3%,301K
20200424-20200430,60위,시청 앞 지하철 역에서 (In front of city hall at the subway station),곽진언,지난주 #51,2 weeks,-0.1%,296K
20200424-20200430,61위,"BAND (창모(CHANGMO), 해쉬 스완(Hash Swan), ASH ISLAND & 김효은)",창모(CHANGMO),지난주 #56,19 weeks,0.7%,286K
20200424-20200430,62위,DUN DUN,EVERGLOW (에버글로우),지난주 #54,13 weeks,-3.5%,278K
20200424-20200430,63위,나쁜 놈 (Bad),벤,--,1 week,--,277K
20200424-20200430,64위,12:45 (Stripped),에담,지난주 #55,6 weeks,-2.9%,276K
20200424-20200430,65위,화려하지 않은 고백 (Confession Is Not Flashy),규현(KYUHYUN),지난주 #66,3 weeks,8.5%,268K
20200424-20200430,66위,"한강 gang megamix (Feat. 장석훈, CHANGMO, Coogie, SUPERBEE, Beenzino, ZENE THE ZILLA)",더 콰이엇(The Quiett),지난주 #69,21 weeks,10.5%,263K
