주간,순위,song,name,lastweek_rank,지속기간,변경,조회수
20200417-20200423,1위,WANNABE,ITZY,지난주 #1,7 weeks,-9.5%,2.48M
20200417-20200423,2위,덤더럼 (Dumhdurum),에이핑크,지난주 #4,2 weeks,30.1%,2.1M
20200417-20200423,3위,돌덩이,하현우,지난주 #2,9 weeks,-16.4%,1.66M
20200417-20200423,4위,시작,가호,지난주 #5,11 weeks,-10.6%,1.38M
20200417-20200423,5위,아로하 (Aloha),Jo Jung-suk,지난주 #11,4 weeks,26.7%,1.32M
20200417-20200423,6위,Oh my god,(여자)아이들,지난주 #3,3 weeks,-20.9%,1.32M
20200417-20200423,7위,DANCE MONKEY,톤스 앤 아이,지난주 #6,22 weeks,-13%,1.14M
20200417-20200423,8위,ON,방탄소년단,지난주 #7,9 weeks,-11.4%,1.1M
20200417-20200423,9위,"그때 그 아인 (Someday, The Boy)",김필 (Kim Feel),지난주 #9,9 weeks,-8.6%,1.03M
20200417-20200423,10위,FIESTA,아이즈원,지난주 #8,10 weeks,-17.8%,951K
20200417-20200423,11위,Any song (아무노래),지코(ZICO),지난주 #10,15 weeks,-15.4%,925K
20200417-20200423,12위,METEOR,창모(CHANGMO),지난주 #14,20 weeks,-3.1%,854K
20200417-20200423,13위,Psycho,Red Velvet,지난주 #13,18 weeks,-4.7%,852K
20200417-20200423,14위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,지난주 #12,27 weeks,-11.2%,820K
20200417-20200423,15위,Blueming(블루밍),아이유(IU),지난주 #15,23 weeks,-4.9%,767K
20200417-20200423,16위,HIP,마마무(MAMAMOO),지난주 #16,23 weeks,-17.8%,600K
20200417-20200423,17위,니가 왜 거기서 나와 (feat. Go Eun-ah),영탁,지난주 #19,16 weeks,-3.7%,566K
20200417-20200423,18위,폰서트,10cm(십센치),지난주 #29,33 weeks,11.3%,544K
20200417-20200423,19위,좋은 사람 있으면 소개시켜줘,조이(JOY),지난주 #25,5 weeks,2%,512K
20200417-20200423,20위,BLOOM (처음처럼),엠씨더맥스,지난주 #18,5 weeks,-20.5%,501K
20200417-20200423,21위,오늘도 빛나는 너에게 (To You My Light) (feat. 이라온),마크툽(MAKTUB),지난주 #24,45 weeks,-2.8%,492K
20200417-20200423,22위,Don't Start Now,두아 리파,지난주 #21,25 weeks,-9%,491K
20200417-20200423,23위,Half (반만),진민호,지난주 #23,9 weeks,-3.8%,488K
20200417-20200423,24위,Memories,Maroon 5(마룬 파이브),지난주 #27,29 weeks,-1.1%,485K
20200417-20200423,25위,9월의 바캉스 (Vacance in September) (김재환 & 스텔라장),김재환,--,1 week,--,474K
20200417-20200423,26위,영웅 (英雄; Kick It),NCT 127,지난주 #20,7 weeks,-19.1%,472K
20200417-20200423,27위,Say So,도자캣,지난주 #22,8 weeks,-14.7%,460K
20200417-20200423,28위,Physical (feat. 화사),두아 리파,지난주 #26,7 weeks,-7.6%,454K
20200417-20200423,29위,Feel Special,TWICE(트와이스),지난주 #30,31 weeks,-8.5%,439K
20200417-20200423,30위,깡 GANG,정지훈,지난주 #31,8 weeks,-9%,433K
20200417-20200423,31위,Painkiller,루엘,지난주 #47,25 weeks,19.8%,403K
20200417-20200423,32위,우리집 My House,2PM,지난주 #17,14 weeks,-39.5%,396K
20200417-20200423,33위,LION,(여자)아이들,지난주 #28,25 weeks,-20.7%,389K
20200417-20200423,34위,"야망 (AMBITION) (feat. ASH ISLAND, 김효은, Hash Swan & 창모(CHANGMO))",릴러말즈(Leellamarz),지난주 #42,40 weeks,7.1%,383K
20200417-20200423,35위,Blinding Lights,The Weeknd(위켄드),지난주 #33,7 weeks,-9%,375K
20200417-20200423,36위,Give You My Heart (마음을 드려요),아이유(IU),지난주 #37,10 weeks,-3.7%,370K
20200417-20200423,37위,ICY,ITZY,지난주 #35,39 weeks,-9.8%,367K
20200417-20200423,38위,Despacito (feat. 대디 양키),Luis Fonsi(루이스 폰시),--,34 weeks,--,359K
20200417-20200423,39위,어떻게 지내 (I Need You),오반,지난주 #39,7 weeks,-3.9%,351K
20200417-20200423,40위,빌었어,창모(CHANGMO),지난주 #54,19 weeks,15.3%,343K
20200417-20200423,41위,Uh-Oh,(여자)아이들,지난주 #45,39 weeks,-0.4%,340K
20200417-20200423,42위,주저하는 연인들을 위해 (For Lovers Who Hesitate),잔나비,지난주 #41,31 weeks,-6.1%,336K
20200417-20200423,43위,BAD,크리스토퍼,지난주 #43,13 weeks,-4.4%,330K
20200417-20200423,44위,마음이 말하는 행복 (Happiness) (feat.이라온),마크툽(MAKTUB),지난주 #46,15 weeks,-6.2%,317K
20200417-20200423,45위,웨이백홈,숀,--,23 weeks,--,312K
20200417-20200423,46위,Bad Boy,Red Velvet,지난주 #50,28 weeks,-0.2%,306K
20200417-20200423,47위,Villain,스텔라장,--,1 week,--,303K
20200417-20200423,48위,Show Yourself (Idina Menzel(이디나 멘젤) & Evan Rachel Wood),Idina Menzel(이디나 멘젤),지난주 #44,4 weeks,-12.1%,302K
20200417-20200423,49위,"When I tell you goodbye (아무렇지 않게, 안녕)",박혜원(HYNN),지난주 #57,4 weeks,9.3%,300K
20200417-20200423,50위,The fifth season(다섯 번째 계절) (SSFWL),오마이걸(OH MY GIRL),--,28 weeks,--,300K
20200417-20200423,51위,시청 앞 지하철 역에서 (In front of city hall at the subway station),곽진언,--,1 week,--,296K
20200417-20200423,52위,"BOY Remix (키드밀리, Tommy Strate, 저스디스, Lil tachi & 스윙스(Swings))",키드밀리,--,1 week,--,290K
20200417-20200423,53위,Spit it out (뱉어),솔라,--,1 week,--,289K
20200417-20200423,54위,DUN DUN,EVERGLOW (에버글로우),지난주 #49,12 weeks,-11.1%,288K
20200417-20200423,55위,12:45 (Stripped),Etham,지난주 #51,5 weeks,-7.2%,284K
20200417-20200423,56위,"BAND (창모(CHANGMO), 해쉬 스완(Hash Swan), ASH ISLAND & 김효은)",창모(CHANGMO),지난주 #55,18 weeks,2.1%,284K
20200417-20200423,57위,버릇처럼 셋을 센다,KCM,지난주 #58,9 weeks,4%,283K
20200417-20200423,58위,BIRTHDAY,Anne-Marie,지난주 #40,11 weeks,-22%,281K
20200417-20200423,59위,LALALILALA,에이프릴(APRIL),--,1 week,--,274K
20200417-20200423,60위,To Die For,Sam Smith(샘 스미스),지난주 #53,8 weeks,-9.5%,270K
20200417-20200423,61위,Square (2017),백예린,지난주 #60,20 weeks,-1.1%,265K
20200417-20200423,62위,봄이여 오라 (feat. Yuri),MC 스나이퍼(MC Sniper),--,1 week,--,264K
20200417-20200423,63위,Break My Heart,두아 리파,지난주 #48,4 weeks,-21.8%,256K
20200417-20200423,64위,400km (Feat. Kid Milli) (feat. 키드밀리),한요한,지난주 #61,4 weeks,-3.9%,254K
20200417-20200423,65위,뜸(Hold),WINNER,지난주 #34,4 weeks,-37.9%,253K
20200417-20200423,66위,화려하지 않은 고백 (Confession Is Not Flashy),규현(KYUHYUN),지난주 #87,2 weeks,31.9%,247K
20200417-20200423,67위,기억을 걷는 시간 (The time of walking on remembrance),넬(NELL),지난주 #69,11 weeks,4.8%,240K
20200417-20200423,68위,JOKE! (feat. 씨잼(C Jamm) & 사이먼 도미닉),CODE KUNST,지난주 #62,6 weeks,-3%,239K
20200417-20200423,69위,"한강 gang megamix (Feat. 장석훈, CHANGMO, Coogie, SUPERBEE, Beenzino, ZENE THE ZILLA)",더 콰이엇(The Quiett),지난주 #66,20 weeks,-0.1%,238K
20200417-20200423,70위,Va va vis,Florina,지난주 #74,7 weeks,13.3%,238K
20200417-20200423,71위,Black Swan,방탄소년단,지난주 #59,14 weeks,-13.6%,234K
20200417-20200423,72위,아로하,쿨(COOL),지난주 #64,4 weeks,-4%,231K
20200417-20200423,73위,Maniac,코난 그레이,지난주 #68,12 weeks,-0.4%,228K
20200417-20200423,74위,Lonely Night,권진아,지난주 #81,4 weeks,13.1%,227K
20200417-20200423,75위,Remember (Live),WINNER,지난주 #65,2 weeks,-5%,227K
20200417-20200423,76위,Godzilla (feat. 주스 월드),Eminem(에미넴),지난주 #72,13 weeks,-3.9%,213K
20200417-20200423,77위,Hello Mr. My Yesterday,애쉬그레이,지난주 #88,3 weeks,14.1%,211K
20200417-20200423,78위,Friends,방탄소년단,지난주 #70,9 weeks,-9.8%,205K
